Name,Department,Preferred Programme for Supervision (1st Choice),Preferred Programme for Supervision (2nd Choice),Expertise Area 1,Expertise Area 2,Expertise Area 3,Standardized Expertise 1,Standardized Expertise 2,Standardized Expertise 3,Standardized Topics
Assoc. Prof. Dr Saad Aslam,DSCCR,No Preference,No Preference,"['Wireless Networks', 'Wireless Communication', 'Mobile Cellular Networks']",['Machine Learning'],['Clustering Algorithms & Optimization'],"['Wireless Networks', 'Wireless Communication', 'Mobile Networks']",['Machine Learning'],['Clustering Algorithms & Optimization'],"Wireless Networks, Wireless Communication, Mobile Networks, Machine Learning, Clustering Algorithms & Optimization"
Assoc. Prof. Dr Selina Low Yeh Ching,DSCCR,BSDA,No Preference,['Data Analytics'],['Statistical methods in data science'],['Applied AI'],['Data Analytics'],['Statistical Data Analysis'],['Applied AI'],"Data Analytics, Statistical Data Analysis, Applied AI"
Assoc. Prof. Dr Sami Salama Hussen Hajjaj,DSCCR,No Preference,No Preference,"['Applied AI', 'GenAI', 'Agentic AI']","['AI applications in Robotics', 'IoT']",['IoT Applications'],"['Applied AI', 'Generative AI', 'Agentic AI']","['AI in Robotics', 'Internet of Things']",['IoT Applications'],"Applied AI, Generative AI, Agentic AI, AI in Robotics, Internet of Things, IoT Applications"
Assoc. Prof. Dr Lee Yun Li,DSCCR,BCS / BSE / BIT,BSDA,['Image and computer vision'],['Machine Learning'],['Data Analytics'],['Computer Vision'],['Machine Learning'],['Data Analytics'],"Computer Vision, Machine Learning, Data Analytics"
Charis Kwan Shwu Chen,DSCCR,BCS / BSE / BIT,BCNS,['Applied AI'],['Development'],['Machine Learning'],['Applied AI'],['Software Development'],['Machine Learning'],"Applied AI, Software Development, Machine Learning"
Dr Aaliya Sarfaraz,DSCCR,BCS / BSE / BIT,BCNS,['Blockchain '],[],[],['Blockchain '],[],[],Blockchain
Dr Ahmad Sahban Rafsanjani,DSCCR,BCNS,No Preference,['Cybersecurity'],['Computer Networking'],[],['Cybersecurity'],['Computer Networking'],[],"Cybersecurity, Computer Networking"
Dr Azizzeanna Hassan,DSCCR,BCS / BSE / BIT,BSDA,['Information System '],['Qualitative study'],[],['Information System '],['Qualitative Research'],[],"Information System, Qualitative Research"
Dr Brandon Khoo Boo Guan,DSCCR,BCS / BSE / BIT,No Preference,['Computer Vision & Image Processing'],"['Computational Intelligence', 'Deep Learning']",['Generative AI Usage Ethics'],['Computer Vision'],"['Computational Intelligence', 'Deep Learning']",['Generative AI Ethics'],"Computer Vision, Computational Intelligence, Deep Learning, Generative AI Ethics"
Dr Chew Moi Tin,DSCCR,No Preference,No Preference,['Embeded Systems'],['Ultrasound Indoor Localization'],['Automated Test and Measurement Systems'],['Embedded Systems'],['Indoor Localization'],['Automated Test and Measurement Systems'],"Embedded Systems, Indoor Localization, Automated Test and Measurement Systems"
Dr Chin Teck Min,DSCCR,BCS / BSE / BIT,No Preference,['Development'],['Distributed System'],['Software Engineering'],['Software Development'],['Distributed Systems'],['Software Engineering'],"Software Development, Distributed Systems, Software Engineering"
Dr Ghulam Murtaza,DSCCR,BSDA,BCS / BSE / BIT,"['Machine', 'Deep learning']",['Digital Image Processing'],"['Data Analytics', 'Mining']","['Machine Learning', 'Deep Learning']",['Image Processing'],"['Data Analytics', 'Mining']","Machine Learning, Deep Learning, Image Processing, Data Analytics, Mining"
Dr Maisarah Mansor,DSCCR,No Preference,No Preference,['Photonic Devices'],['Fiber Optic Sensor'],['Nanomaterial for Ultrashort Fiber Laser'],['Photonic Devices'],['Fiber Optic Sensor'],['Nanomaterials'],"Photonic Devices, Fiber Optic Sensor, Nanomaterials"
Dr Mehran Behjati,DSCCR,BCNS,BSDA,['Network'],['AI'],[],['Computer Networks'],['Artificial Intelligence'],[],"Computer Networks, Artificial Intelligence"
Dr Melody Tan Shi Ai,DSCCR,BSDA,BSDA,['Data Analytics'],['Machine Learning'],[],['Data Analytics'],['Machine Learning'],[],"Data Analytics, Machine Learning"
Dr Noor Hafizah Hassan,DSCCR,BSDA,BCS / BSE / BIT,['Information System'],"['Computing study with qualitative & quantitative data (survey,interview)']",[],['Information Systems'],['Data Analysis (Qualitative & Quantitative)'],[],"Information Systems, Data Analysis (Qualitative & Quantitative)"
Dr Nor Hafizah Mohamed Halip,DSCCR,BCS / BSE / BIT,BSDA,['Applied AI'],['Industrial IoT'],[],['Applied AI'],['Industrial IoT'],[],"Applied AI, Industrial IoT"
Dr Yawar Abbas Bangash,DSCCR,BCNS,BCS / BSE / BIT,['Computer Networks'],['Information Security'],['Software Engineering'],['Computer Networks'],['Information Security'],['Software Engineering'],"Computer Networks, Information Security, Software Engineering"
Foo Jinny,DSCCR,BSDA,BCS / BSE / BIT,['Big Data Analysis'],['Data Mining'],['Blockchain'],['Big Data Analysis'],['Data Mining'],['Blockchain'],"Big Data Analysis, Data Mining, Blockchain"
Lim Woan Ning,DSCCR,BCS / BSE / BIT,BCS / BSE / BIT,"['Extended reality (VR,AR,MR)']",['Application development'],['Machine Learning'],['Extended Reality'],['Application Development'],['Machine Learning'],"Extended Reality, Application Development, Machine Learning"
Prof. Lau Sian Lun,DSCCR,No Preference,No Preference,['Green computing'],['Applied Machine Learning'],['Sustainable smart city'],['Green Computing'],['Applied Machine Learning'],['Sustainable Smart Cities'],"Green Computing, Applied Machine Learning, Sustainable Smart Cities"
Prof. Serge Demidenko,DSCCR,No Preference,No Preference,"['Computer Engineering', 'Electronics']","['Signal Processing', 'Image Processing']",['Software Engineering'],"['Computer Engineering', 'Electronics']","['Signal Processing', 'Image Processing']",['Software Engineering'],"Computer Engineering, Electronics, Signal Processing, Image Processing, Software Engineering"
Prof. Lee Chien Sing,DSCCR,BCS / BSE / BIT,BCS / BSE / BIT,['E-commerce games '],['Chatbots'],[],['E-commerce games '],['Chatbots'],[],"E-commerce games, Chatbots"
Pyi Phyo Aung,DSCCR,BCS / BSE / BIT,BCNS,['Embedded System'],['TinyML'],['IoT'],['Embedded Systems'],['TinyML'],['Internet of Things'],"Embedded Systems, TinyML, Internet of Things"
Yeap Boon Han,DSCCR,BCS / BSE / BIT,No Preference,['Development'],[],[],['Software Development'],[],[],Software Development
Assoc. Prof. Dr Ranjit Singh Sarban Singh,HUMAC,No Preference,No Preference,['Renewable Energy System Management'],['Battery Energy Storage Management'],['Embedded System Development'],['Renewable Energy Management'],['Battery Energy Storage Management'],['Embedded Systems Development'],"Renewable Energy Management, Battery Energy Storage Management, Embedded Systems Development"
Dr Tang Tiong Yew,HUMAC,BCS / BSE / BIT,BSDA,"['Applied Generative AI', 'Applied AI']",['Machine Learning'],"['Robotics', 'Blockchain', 'Commercial Projects']","['Applied Generative AI', 'Applied AI']",['Machine Learning'],"['Robotics', 'Blockchain', 'Commercial Projects']","Applied Generative AI, Applied AI, Machine Learning, Robotics, Blockchain, Commercial Projects"
Prof. Yap Kian Meng,HUMAC,No Preference,No Preference,['Distributed haptics'],['Network architectures and protocols'],['High-speed computer and Telecommunications networks'],['Distributed Haptics'],['Network Protocols'],['High-Speed Networks'],"Distributed Haptics, Network Protocols, High-Speed Networks"
Dr Tan Tee Hean,HUMAC,BCS / BSE / BIT,No Preference,['mobile development'],['Natural Language Processing'],['Development'],['Mobile Development'],['Natural Language Processing'],['Software Development'],"Mobile Development, Natural Language Processing, Software Development"
Assoc. Prof. Dr Chia Wai Chong,SEN,BCS / BSE / BIT,BCS / BSE / BIT,['Application Development'],['Image Processing'],[],['Application Development'],['Image Processing'],[],"Application Development, Image Processing"
Dr Richard Wong Teck Ken,SEN,No Preference,No Preference,['Smart transportation system'],['Operational optimisation for sustainability'],['Embedded system applications'],['Smart Transportation'],['Sustainability Optimization'],['Embedded Systems Applications'],"Smart Transportation, Sustainability Optimization, Embedded Systems Applications"
Dr Ngu War Hlaing,SEN,No Preference,No Preference,['Wireless Communication'],['Network Coding'],['Antenna Design'],['Wireless Communication'],['Network Coding'],['Antenna Design'],"Wireless Communication, Network Coding, Antenna Design"
Assoc. Prof. Abdul Aziz Omar,SEN,BSDA,BSDA,['open on data analytics'],[],[],['Data Analytics'],[],[],Data Analytics
Prof. Rosdiadee Nordin,SEN,BCNS,BCNS,[],[],[],[],[],[],
Prof. Liew Chee Sun,DDSAI,No Preference,No Preference,"['distributed systems', 'IoT', 'Databases', 'Cloud Computing', 'Network Security', 'Deep Learning']",[],[],"['Distributed Systems', 'Internet of Things', 'Databases', 'Cloud Computing', 'Network Security', 'Deep Learning']",[],[],"Distributed Systems, Internet of Things, Databases, Cloud Computing, Network Security, Deep Learning"
