Entry,Positive_Topics,Negative_Topics
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm not keen on working with Internet of Things—it’s never been an area I enjoyed. I find Antenna Design intellectually stimulating and highly relevant to current tech problems. Another area I enjoy is Swarm and Evolutionary Computing, especially for its potential applications. However, I'm not interested in Renewable Energy System Management since it doesn't align with my goals.","['Antenna Design', 'Swarm and Evolutionary Computing']","['Internet of Things', 'Renewable Energy System Management']"
"Machine Learning Theory is something I’ve always wanted to explore due to its interdisciplinary scope. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I usually steer clear of Commercial Projects because it lacks real-world engagement in my view. Network Security doesn’t appeal to me as it's too niche for my liking. I'm really drawn to Nanomaterials as it aligns with both academic and industry trends.","['Machine Learning Theory', 'Nanomaterials']","['Network Security', 'Commercial Projects']"
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. I usually steer clear of Automated Test and Measurement Systems because it lacks real-world engagement in my view. I'm fascinated by Computer Networking because it's both innovative and impactful. Information Systems doesn’t appeal to me as it's too niche for my liking. User Experience (UX) is something I’ve always wanted to explore due to its interdisciplinary scope.","['User Experience (UX)', 'Computer Networking']","['Automated Test and Measurement Systems', 'Information Systems']"
"Neuroscience is something I’ve always wanted to explore due to its interdisciplinary scope. I usually steer clear of Big Data Analysis because it lacks real-world engagement in my view. I'm fascinated by Deep Learning because it's both innovative and impactful. However, I'm not interested in Human-Computer Interaction since it doesn't align with my goals. Overall, I want a topic that’s exciting, practical, and lets me learn something new.","['Deep Learning', 'Neuroscience']","['Human-Computer Interaction', 'Big Data Analysis']"
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm not keen on working with Software Engineering—it’s never been an area I enjoyed. I'm really drawn to Computer Graphics as it aligns with both academic and industry trends. Distributed haptics is something I’ve always wanted to explore due to its interdisciplinary scope. I usually steer clear of Fiber Optic Sensor because it lacks real-world engagement in my view.","['Distributed haptics', 'Computer Graphics']","['Software Engineering', 'Fiber Optic Sensor']"
"Another area I enjoy is Data Analytics, especially for its potential applications. However, I'm not interested in Interaction Design since it doesn't align with my goals. I’d rather avoid Photonic Devices because it feels too abstract or outdated. I'm really drawn to Information Technology as it aligns with both academic and industry trends. Overall, I want a topic that’s exciting, practical, and lets me learn something new.","['Data Analytics', 'Information Technology']","['Photonic Devices', 'Interaction Design']"
"Internet of Things is something I’ve always wanted to explore due to its interdisciplinary scope. I find Neural Networks intellectually stimulating and highly relevant to current tech problems. Mixed Reality doesn’t appeal to me as it's too niche for my liking. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I usually steer clear of Photonic Devices because it lacks real-world engagement in my view.","['Neural Networks', 'Internet of Things']","['Photonic Devices', 'Mixed Reality']"
"Working on user experience design and interaction design solutions for digital products motivates me significantly. Creating intuitive and engaging interfaces is what drives my interest in technology and design principles. Unfortunately, I'm not interested in product design or service design as they focus too much on aesthetics over functionality.","['User Experience (UX)', 'Interaction Design', 'Human-Computer Interaction']","['Product/Service Design']"
"I'm fascinated by virtual reality environments and immersive computing experiences for various applications. Creating alternate realities through technology is fascinating and has endless creative possibilities for entertainment and education. However, I want to avoid network coding and protocol development as they require deep networking expertise.","['Virtual Reality', 'Computer Graphics']","['Network Coding']"
"My passion lies in information technology infrastructure and system administration projects. Building robust technical foundations is important for all digital systems and applications in modern organizations. I'm not interested in neuroscience applications or brain-computer interfaces as they require biological knowledge I don't possess.","['Information Technology', 'Computer Engineering']","['Neuroscience']"
"I'm excited about working on mobile application development and cross-platform software solutions. I enjoy creating applications that people actually use and benefit from in their daily lives and work. However, I want to avoid time series analysis and financial modeling as I find statistical analysis tedious.","['Mobile Application Development', 'Software Engineering']","['Time Series Analysis']"
"Working on computer science theory and algorithmic complexity analysis appeals to me greatly. The theoretical foundations of computation are intellectually stimulating and challenging to work with in research. Unfortunately, I'm not interested in mobile cellular networks or telecommunications as they seem too technical and specialized.","['Computer Science', 'Machine Learning Theory']","['Mobile Cellular Networks']"
"I'm drawn to Internet of Things platforms and connected device ecosystems for smart applications. I love how IoT technology bridges the physical and digital worlds seamlessly and efficiently across domains. However, I want to avoid signal processing and audio analysis as they involve too much mathematical complexity.","['Internet of Things', 'Embedded Systems']","['Signal Processing']"
"My interest lies in augmented reality applications and mixed reality development for various use cases. The potential to enhance reality with digital information is exciting and transformative for many industries and applications. I'm not interested in distributed systems or cloud architecture as they're too infrastructure-focused.","['Augmented Reality', 'Mixed Reality', 'Extended Reality']","['Distributed Systems', 'Cloud Computing']"
"I'm passionate about natural language processing systems and conversational AI development for communication. Creating machines that understand and generate human language is incredibly important for the future of technology and society. However, I want to avoid blockchain technology and cryptocurrency systems as they seem overly speculative.","['Natural Language Processing', 'Generative AI']","['Blockchain']"
"Working on robotics and autonomous systems for various industrial and consumer applications motivates me significantly. The integration of hardware and software in robotics is fascinating and presents unique engineering challenges. Unfortunately, I'm not interested in computer networking or protocol development as they require deep technical knowledge I lack.","['Robotics', 'Embedded Systems']","['Computer Networking']"
"I'm fascinated by big data analytics and machine learning for business intelligence and decision making. I enjoy the challenge of extracting meaningful insights from large, complex datasets across various business domains. However, I want to avoid electronics hardware and circuit design as I prefer software-focused projects.","['Big Data Analysis', 'Machine Learning', 'Data Analytics']","['Electronics']"
"My passion lies in developing cybersecurity research and secure computing systems for digital protection. Protecting digital assets and privacy is increasingly important in our connected world and digital economy. I'm not interested in database management or data mining as they seem too backend-focused for my interests.","['Cybersecurity', 'Information Security']","['Databases', 'Data Mining']"
"I'm excited about working on computer vision applications and image processing systems for visual analysis. The ability to make machines see and understand visual content is powerful and has many practical applications. However, I want to avoid network security projects as the constant threat landscape seems overwhelming.","['Computer Vision', 'Image Processing', 'Pattern Recognition']","['Network Security']"
"Working on human-computer interaction and user experience design for digital products appeals to me greatly. Creating intuitive interfaces that improve people's digital experiences is my primary goal and motivation in technology. Unfortunately, I'm not interested in wireless communication and mobile networks as they require telecommunications expertise I don't have.","['Human-Computer Interaction', 'User Experience (UX)', 'Interaction Design']","['Wireless Communication']"
"I'm drawn to computational intelligence and evolutionary algorithms for optimization problems and solutions. The biological inspiration behind these methods is fascinating and elegant in its approach to problem-solving. However, I want to avoid commercial projects and business applications as they lack intellectual challenge.","['Computational Intelligence', 'Swarm and Evolutionary Computing']","['Commercial Projects']"
"My interest lies in information visualization and creating interactive data dashboards for research purposes. Making complex data accessible and understandable is important and valuable work for various fields and applications. I'm not interested in health informatics and medical applications as they require domain knowledge I don't possess.","['Information Visualization', 'Data Analytics']","['Health Informatics']"
"I'm passionate about software modeling tools and programming language design for development efficiency. I enjoy improving the software development process itself and making it more efficient and accessible for developers. However, I want to avoid antenna design and RF engineering as they require electrical engineering expertise I lack.","['Software Modeling', 'Software Engineering']","['Antenna Design']"
"Working on deep learning models and neural network architectures for various applications motivates me significantly. The power of AI to solve complex real-world problems is exciting and transformative for many industries. Unfortunately, I'm not interested in operational optimization and sustainability projects as they seem too business-focused.","['Deep Learning', 'Neural Networks', 'Artificial Intelligence']","['Operational optimisation for sustainability']"
"I'm fascinated by smart cities technology and urban computing solutions for modern infrastructure. Using technology to improve city life and infrastructure is meaningful and impactful work for society's future. However, I want to avoid distributed haptics and tactile feedback systems as they require specialized hardware knowledge.","['Smart Cities', 'Internet of Things']","['Distributed haptics']"
"My passion lies in developing automated test systems and quality assurance frameworks for software reliability. Ensuring software reliability and performance is crucial for modern applications and systems in various domains. I'm not interested in e-commerce platforms and gaming applications as they seem too commercially focused.","['Automated Test and Measurement Systems', 'Software Engineering']","['E-commerce games']"
"I'm excited about working on clustering algorithms and optimization techniques for machine learning applications. The mathematical foundations of these methods fascinate me deeply and intellectually challenge me in solving problems. However, I want to avoid photonic devices and optical computing as they require physics knowledge I don't have.","['Clustering Algorithms & Optimization', 'Machine Learning Theory']","['Photonic Devices']"
"Working on renewable energy systems and green computing solutions for environmental sustainability appeals to me greatly. Using technology to address environmental challenges is important and meaningful work for our planet's future. Unfortunately, I'm not interested in fiber optic sensors and optical communication as they're too hardware-focused.","['Renewable Energy System Management', 'Green Computing', 'Environment']","['Fiber Optic Sensor']"
"As a student and developer, I actively participate in and enjoy designing, building, and deploying full-stack applications with Python (using Flask and Django frameworks).","['Application Development']",['No Match']
"I am also fluent in Kotlin and Flutter for Android development.","['Mobile Application Development']",['No Match']
"My education has provided me with a strong foundation in frontend and backend development, and I am adept at utilizing software frameworks and tools to develop solutions that meet user requirements.","['Software Engineering', 'User Experience (UX)']",['No Match']
"In addition to my software development skills, I have a keen interest in data analysis and machine learning.","['Data Analytics', 'Machine Learning']",['No Match']
"Dedicated Final Year Software Engineering student passionate about web/app development, database management, tech and UI/UX design.","['Application Development', 'Databases', 'User Experience (UX)']",['No Match']
"I am a final-year Software Engineering student with knowledge in software development and AI-related areas.","['Artificial Intelligence', 'Software Engineering']",['No Match']
"I am eager to apply my technical skills and problem-solving mindset in real-world projects, and open to opportunities across software and AI development.","['Artificial Intelligence', 'Software Engineering']",['No Match']
"Final year Bachelor of Software Engineer (Hons) student at Sunway University Kuala Lumpur, School of Engineering and Technology. I am passionate about Web Development and Database Management.","['Databases', 'Software Engineering']",['No Match']
"Highly motivated software engineering student specialized in software development, with proficiency in multiple programming languages including Python, Java, and Scala.","['Software Engineering']",['No Match']
"I am currently a Computer Science scholar specializing in Artificial Intelligence and Machine Learning development, with a keen interest in applying these technologies for innovative problem solving.","['Artificial Intelligence', 'Machine Learning', 'Computer Science']",['No Match']
"As a software engineering student, I am proficient in Java, Scala, Python, and Kotlin, as well as web development languages like HTML, CSS, JavaScript, and PHP.","['User Experience (UX)', 'Software Engineering']",['No Match']
"I have practical experience in full-stack web and mobile application development.","['Mobile Application Development']",['No Match']
"I am a Final Year Software Engineering undergraduate with experiences across a diverse range of programming languages like; Python, Java, JavaScript/TypeScript, Scala, Kotlin, and PHP.","['Software Engineering']",['No Match']
"Throughout my journey as a developer, I've built unique applications such as games, websites, and mobile apps.","['Application Development', 'E-commerce games', 'Mobile Application Development']",['No Match']
"Having worked with several (FE & BE) libraries and frameworks such as; React, NextJS and Spring Boot, I understand how they enable code reuse and reduce boilerplate all while providing modular build structure for projects.","['Appliation Development', 'User Experience (UX)']",['No Match']
"I am versed in database operations, having worked with MySQL, Postgres, SQLite, Derby and other database systems.","['Databases']",['No Match']
"I’ve sharpened my designing skills by creating Figma prototypes and turning them into fully functional interfaces using HTML, XML, FXML, and CSS.","['User Experience (UX)']",['No Match']
"My passion for technology remains insatiable. I’m always eager to learn, with my current focus on natural language processing (NLP) and Web3 development.","['Natural Language Processing', 'Blockchain']",['No Match']
"Throughout my studies, I've developed a deep passion for designing and creating stunning visuals, which has shaped my strengths in front-end development and UI/UX design.","['User Experience (UX)']",['No Match']
"I have experience with front-end technologies such as HTML, CSS, and JavaScript, as well as design and prototyping tools like Canva and Figma to create user-friendly designs.","['User Experience (UX)']",['No Match']
"Additionally, my knowledge of programming languages such as Java, Python, and Kotlin allows me to effectively tackle the logic behind my applications.","['Application Development']",['No Match']
"Currently, I’m exploring and learning about Artificial Intelligence and generative tools to incorporate these trends into my applications, making them more robust and innovative.","['Artificial Intelligence', 'Generative AI', 'Application Development']",['No Match']
"I've gained an attentive eye for product details, bugs, and an ability for listing products for appropriate visibility with my experiences working.","['Product/Service Design']",['No Match']
"Meteorology Dashboards doesn’t appeal to me as it's too niche for my liking. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Internet of Things is something I’ve always wanted to explore due to its interdisciplinary scope. I’d rather avoid Gamified Learning Platforms because it feels too abstract or outdated. I find Operational optimisation for sustainability intellectually stimulating and highly relevant to current tech problems.","['Internet of Things', 'Operational optimisation for sustainability']",['No Match']
"I usually steer clear of Marine Ecology Apps because it lacks real-world engagement in my view. Overall, I want a topic that’s exciting, practical, and lets me learn something new. However, I'm not interested in Biodiversity Cataloging since it doesn't align with my goals. I'm fascinated by Generative AI because it's both innovative and impactful. Another area I enjoy is Wireless Communication, especially for its potential applications.","['Wireless Communication', 'Generative AI']",['No Match']
"Fiber Optic Sensor is something I’ve always wanted to explore due to its interdisciplinary scope. I'm really drawn to Photonic Devices as it aligns with both academic and industry trends. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm not keen on working with Music Genre Classification—it’s never been an area I enjoyed. Quantum Finance doesn’t appeal to me as it's too niche for my liking.","['Photonic Devices', 'Fiber Optic Sensor']",['No Match']
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. I find Product/Service Design intellectually stimulating and highly relevant to current tech problems. 3D Food Printing doesn’t appeal to me as it's too niche for my liking. Another area I enjoy is Nanomaterials, especially for its potential applications. I usually steer clear of Smart Furniture Systems because it lacks real-world engagement in my view.","['Nanomaterials', 'Product/Service Design']",['No Match']
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. Music Genre Classification doesn’t appeal to me as it's too niche for my liking. Another area I enjoy is Renewable Energy System Management, especially for its potential applications. I'm fascinated by Interaction Design because it's both innovative and impactful. However, I'm not interested in Biodiversity Cataloging since it doesn't align with my goals.","['Renewable Energy System Management', 'Interaction Design']",['No Match']
"I’d rather avoid Music Genre Classification because it feels too abstract or outdated. I find Computational Intelligence intellectually stimulating and highly relevant to current tech problems. However, I'm not interested in Agricultural Drone Mapping since it doesn't align with my goals. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Another area I enjoy is Information Security, especially for its potential applications.","['Computational Intelligence', 'Information Security']",['No Match']
"Another area I enjoy is Software Engineering, especially for its potential applications. However, I'm not interested in Smart Furniture Systems since it doesn't align with my goals. I'm fascinated by Automated Test and Measurement Systems because it's both innovative and impactful. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm not keen on working with Space Weather Forecasting—it’s never been an area I enjoyed.","['Automated Test and Measurement Systems', 'Software Engineering']",['No Match']
"I'm not keen on working with 3D Food Printing—it’s never been an area I enjoyed. I find Swarm and Evolutionary Computing intellectually stimulating and highly relevant to current tech problems. Wildlife Monitoring Tools doesn’t appeal to me as it's too niche for my liking. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Computer Vision is something I’ve always wanted to explore due to its interdisciplinary scope.","['Computer Vision', 'Swarm and Evolutionary Computing']",['No Match']
"I'm really drawn to Nanomaterials as it aligns with both academic and industry trends. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I’d rather avoid Smart Furniture Systems because it feels too abstract or outdated. Autonomous Farming doesn’t appeal to me as it's too niche for my liking. Fiber Optic Sensor is something I’ve always wanted to explore due to its interdisciplinary scope.","['Fiber Optic Sensor', 'Nanomaterials']",['No Match']
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm fascinated by Cybersecurity because it's both innovative and impactful. I usually steer clear of Marine Ecology Apps because it lacks real-world engagement in my view. Information Visualization is something I’ve always wanted to explore due to its interdisciplinary scope. Sleep Cycle Prediction doesn’t appeal to me as it's too niche for my liking.","['Cybersecurity', 'Information Visualization']",['No Match']
"I’d rather avoid Wildlife Monitoring Tools because it feels too abstract or outdated. Another area I enjoy is Deep Learning, especially for its potential applications. Overall, I want a topic that’s exciting, practical, and lets me learn something new. However, I'm not interested in Diet Tracking Algorithms since it doesn't align with my goals. I'm really drawn to Human-Computer Interaction as it aligns with both academic and industry trends.","['Deep Learning', 'Human-Computer Interaction']",['No Match']
"I find Computer Science intellectually stimulating and highly relevant to current tech problems. Another area I enjoy is Machine Learning Theory, especially for its potential applications. I'm not keen on working with Autonomous Farming—it’s never been an area I enjoyed. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Biodiversity Cataloging doesn’t appeal to me as it's too niche for my liking.","['Machine Learning Theory', 'Computer Science']",['No Match']
"Another area I enjoy is Operational optimisation for sustainability, especially for its potential applications. I’d rather avoid Sleep Cycle Prediction because it feels too abstract or outdated. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I find Computer Graphics intellectually stimulating and highly relevant to current tech problems. I'm not keen on working with Sports Injury Prediction—it’s never been an area I enjoyed.","['Computer Graphics', 'Operational optimisation for sustainability']",['No Match']
"Distributed haptics is something I’ve always wanted to explore due to its interdisciplinary scope. 3D Food Printing doesn’t appeal to me as it's too niche for my liking. I’d rather avoid Rehabilitation Robotics because it feels too abstract or outdated. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm really drawn to Swarm and Evolutionary Computing as it aligns with both academic and industry trends.","['Distributed haptics', 'Swarm and Evolutionary Computing']",['No Match']
"Electronics is something I’ve always wanted to explore due to its interdisciplinary scope. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm not keen on working with Marine Ecology Apps—it’s never been an area I enjoyed. I'm fascinated by Machine Learning Theory because it's both innovative and impactful. I’d rather avoid Space Weather Forecasting because it feels too abstract or outdated.","['Machine Learning Theory', 'Electronics']",['No Match']
"Another area I enjoy is Meteorology Dashboards, especially for its potential applications. However, I'm not interested in Blockchain since it doesn't align with my goals. I find Biodiversity Cataloging intellectually stimulating and highly relevant to current tech problems. I usually steer clear of Pattern Recognition because it lacks real-world engagement in my view. Overall, I want a topic that’s exciting, practical, and lets me learn something new.",['No Match'],"['Blockchain', 'Pattern Recognition']"
"I'm really drawn to Space Weather Forecasting as it aligns with both academic and industry trends. I usually steer clear of Photonic Devices because it lacks real-world engagement in my view. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I’d rather avoid User Experience (UX) because it feels too abstract or outdated. Meteorology Dashboards is something I’ve always wanted to explore due to its interdisciplinary scope.",['No Match'],"['Photonic Devices', 'User Experience (UX)']"
"Sleep Cycle Prediction is something I’ve always wanted to explore due to its interdisciplinary scope. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm really drawn to Smart Furniture Systems as it aligns with both academic and industry trends. I usually steer clear of Qualitative study because it lacks real-world engagement in my view. I'm not keen on working with Product/Service Design—it’s never been an area I enjoyed.",['No Match'],"['Product/Service Design', 'Qualitative study']"
"Autonomous Farming is something I’ve always wanted to explore due to its interdisciplinary scope. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Data Mining doesn’t appeal to me as it's too niche for my liking. I'm really drawn to Eco-tourism System as it aligns with both academic and industry trends. I’d rather avoid Information Security because it feels too abstract or outdated.",['No Match'],"['Data Mining', 'Information Security']"
"I'm really drawn to Agricultural Drone Mapping as it aligns with both academic and industry trends. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I find Autonomous Farming intellectually stimulating and highly relevant to current tech problems. I usually steer clear of Nanomaterials because it lacks real-world engagement in my view. I’d rather avoid Augmented Reality because it feels too abstract or outdated.",['No Match'],"['Augmented Reality', 'Nanomaterials']"
"I'm fascinated by 3D Food Printing because it's both innovative and impactful. Music Genre Classification is something I’ve always wanted to explore due to its interdisciplinary scope. However, I'm not interested in Cloud Computing since it doesn't align with my goals. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I’d rather avoid Wireless Communication because it feels too abstract or outdated.",['No Match'],"['Wireless Communication', 'Cloud Computing']"
"I'm not keen on working with Embedded Systems—it’s never been an area I enjoyed. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Neural Networks doesn’t appeal to me as it's too niche for my liking. Music Genre Classification is something I’ve always wanted to explore due to its interdisciplinary scope. I find Meteorology Dashboards intellectually stimulating and highly relevant to current tech problems.",['No Match'],"['Embedded Systems', 'Neural Networks']"
"I'm not keen on working with Photonic Devices—it’s never been an area I enjoyed. I usually steer clear of Artificial Intelligence because it lacks real-world engagement in my view. I find Rehabilitation Robotics intellectually stimulating and highly relevant to current tech problems. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Autonomous Farming is something I’ve always wanted to explore due to its interdisciplinary scope.",['No Match'],"['Artificial Intelligence', 'Photonic Devices']"
"However, I'm not interested in Fiber Optic Sensor since it doesn't align with my goals. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I’d rather avoid Interaction Design because it feels too abstract or outdated. I'm fascinated by Rehabilitation Robotics because it's both innovative and impactful. I'm really drawn to Diet Tracking Algorithms as it aligns with both academic and industry trends.",['No Match'],"['Interaction Design', 'Fiber Optic Sensor']"
"I'm really drawn to Gamified Learning Platforms as it aligns with both academic and industry trends. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I usually steer clear of Embedded Systems because it lacks real-world engagement in my view. Autonomous Farming is something I’ve always wanted to explore due to its interdisciplinary scope. However, I'm not interested in Artificial Intelligence since it doesn't align with my goals.",['No Match'],"['Embedded Systems', 'Artificial Intelligence']"
"User Experience (UX) doesn’t appeal to me as it's too niche for my liking. Gamified Learning Platforms is something I’ve always wanted to explore due to its interdisciplinary scope. I find Sports Injury Prediction intellectually stimulating and highly relevant to current tech problems. I'm not keen on working with Generative AI—it’s never been an area I enjoyed. Overall, I want a topic that’s exciting, practical, and lets me learn something new.",['No Match'],"['User Experience (UX)', 'Generative AI']"
"I'm fascinated by Diet Tracking Algorithms because it's both innovative and impactful. I find Autonomous Farming intellectually stimulating and highly relevant to current tech problems. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I’d rather avoid Data Analytics because it feels too abstract or outdated. I'm not keen on working with Computer Networking—it’s never been an area I enjoyed.",['No Match'],"['Computer Networking', 'Data Analytics']"
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. However, I'm not interested in Signal Processing since it doesn't align with my goals. I find Urban Noise Mapping intellectually stimulating and highly relevant to current tech problems. I'm fascinated by Autonomous Farming because it's both innovative and impactful. Distributed Systems doesn’t appeal to me as it's too niche for my liking.",['No Match'],"['Signal Processing', 'Distributed Systems']"
"Another area I enjoy is Meteorology Dashboards, especially for its potential applications. I'm fascinated by Marine Ecology Apps because it's both innovative and impactful. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I usually steer clear of Network Security because it lacks real-world engagement in my view. Automated Test and Measurement Systems doesn’t appeal to me as it's too niche for my liking.",['No Match'],"['Automated Test and Measurement Systems', 'Network Security']"
"However, I'm not interested in Augmented Reality since it doesn't align with my goals. I'm really drawn to Pet Tracking Devices as it aligns with both academic and industry trends. I'm not keen on working with Commercial Projects—it’s never been an area I enjoyed. Smart Furniture Systems is something I’ve always wanted to explore due to its interdisciplinary scope. Overall, I want a topic that’s exciting, practical, and lets me learn something new.",['No Match'],"['Augmented Reality', 'Commercial Projects']"
"Quantum Finance is something I’ve always wanted to explore due to its interdisciplinary scope. I find Emotion-based Music Curation intellectually stimulating and highly relevant to current tech problems. I’d rather avoid Commercial Projects because it feels too abstract or outdated. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Renewable Energy System Management doesn’t appeal to me as it's too niche for my liking.",['No Match'],"['Commercial Projects', 'Renewable Energy System Management']"
"I usually steer clear of Product/Service Design because it lacks real-world engagement in my view. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Neural Networks doesn’t appeal to me as it's too niche for my liking. I'm fascinated by Pet Tracking Devices because it's both innovative and impactful. I'm really drawn to Gamified Learning Platforms as it aligns with both academic and industry trends.",['No Match'],"['Product/Service Design', 'Neural Networks']"
"Network Security doesn’t appeal to me as it's too niche for my liking. However, I'm not interested in Mobile Application Development since it doesn't align with my goals. I'm really drawn to Biodiversity Cataloging as it aligns with both academic and industry trends. Another area I enjoy is Urban Noise Mapping, especially for its potential applications. Overall, I want a topic that’s exciting, practical, and lets me learn something new.",['No Match'],"['Mobile Application Development', 'Network Security']"
"I'm really drawn to Diet Tracking Algorithms as it aligns with both academic and industry trends. I'm not keen on working with Artificial Intelligence—it’s never been an area I enjoyed. Another area I enjoy is Meteorology Dashboards, especially for its potential applications. Cloud Computing doesn’t appeal to me as it's too niche for my liking. Overall, I want a topic that’s exciting, practical, and lets me learn something new.",['No Match'],"['Cloud Computing', 'Artificial Intelligence']"
"I'm not keen on working with Distributed haptics—it’s never been an area I enjoyed. I'm fascinated by Wildlife Monitoring Tools because it's both innovative and impactful. Another area I enjoy is Smart Furniture Systems, especially for its potential applications. I’d rather avoid Databases because it feels too abstract or outdated. Overall, I want a topic that’s exciting, practical, and lets me learn something new.",['No Match'],"['Distributed haptics', 'Databases']"
