student_preference,lecturer_topics,match
I am looking to enhance my skills in Programming for Data Science.,"['Programming for Data Science', 'Green Computing', 'Programming for Data Science']",1
I want to bated by Agricultural Technology and its potential to solve real-world problems.,"['Electrochemical Energy storage Devices \xa0(Supercapacitor, Fuel Cell, Batteries)', 'Luminescence dosimetry', 'Digital image forgery detection']",0
I am eager tuild a career in Urban Poverty.,"['Software Defined Networking', 'Nanomaterial Sensors', 'Urban Poverty']",1
I am passionate about Design of integrated biorefineries and want to explore more in this field.,"['Sustainable Value Chain', 'Wireless Networks / WSNs', 'User-Centered Systems Development']",0
"I am looking to enhance my skills in Thermodynamics, Thermo-fluids & Heat Transfer.","['Chemical Process Control', 'Design of ionic liquids for carbon dioxide removal', 'Numerical solutions for non-linear pdes.']",0
I am eager tuild a career in Logic Design and Computer System Engineering.,"['Hydrological Cycle Analysis', 'Advanced Theory of Computations', 'Artificial intelligence for renewable energy']",0
I am eager tuild a career in Machine dynamics and synthesis of mechanisms.,"['Research Methods in Science and Technology', 'Thermal Energy Storage', 'Machine dynamics and synthesis of mechanisms']",1
I am interested in learning about Cloud Computing and its applications.,"['Deep Learning for Data Science', 'Bamboo structures', 'Cloud Computing']",1
"I want to gain hands-on experience in Thermochemical conversion [Wet torrefaction, hydrothermal pretreatment, pyrolysis].","['Surface & material Characterization', 'Fluid Drive System', 'Design Project']",0
I am excited to explore the latest advancements in Inflow Forecasting Models.,"['Optimization of material properties for energy storage, heat transfer, & electromagnetic applications', 'Structural dynamics', 'Inflow Forecasting Models']",1
I am interested in learning about 5G Wireless; Optical Communication and its applications.,"['Digital Communications', 'Advanced Software System Design and Architecture', 'Business Intelligence']",0
I want to gain hands-on experience in CHE1014 Physical Chemistry.,"['Modular and precast structures', 'Network and Communication', 'Requirements engineering']",0
I am looking to enhance my skills in Solar Cell Materials.,"['Thermoelectric', 'Ontology Engineering', 'Solar Cell Materials']",1
I want to contribute to innovative solutions in Theory of Automata.,"['Embeded Systems', 'LiFi and free space optics', 'Theory of Automata']",1
I am looking to enhance my skills in Nanocomposites.,"['NLP', 'Embeded Systems', 'Big Data Analytics in the Cloud']",0
I want to bated by Radiological risks associated with Naturally Occurring Radioactive Materials (NORM) and its potential to solve real-world problems.,"['Context-awareness', 'Hydrological Cycle Analysis', 'Optical Fiber Communications']",0
I want to contribute to innovative solutions in Neuroscience.,"['Renewable Energy Conversion and Integrations', 'Chemical product design and molecular design', 'Neuroscience']",1
I am looking to enhance my skills in Collaborative knowledge management.,"['Land use planning and optimisation', 'Geospatial Analysis', 'Collaborative knowledge management']",1
I am fascino collaborate on research in 5G Wireless; Optical Communication.,"['Digital image processing and computer vision', 'Advanced Business Analytics and Visualization', '5G Wireless; Optical Communication']",1
I am fascino collaborate on research in Biomass Valorization.,"['Electronic Design and Testing', 'Software Engineering & Development', 'Internet of Things']",0
I am excited to explore the latest advancements in Collaborative knowledge management.,"['Clustering Algorithms & Optimization', 'Nanoparticles', 'Collaborative knowledge management']",1
I want to gain hands-on experience in Ultrasound Indoor Localization.,"['Electrochemical energy storage and conversion', 'Natural Language Processing', 'Ultrasound Indoor Localization']",1
I am looking to enhance my skills in Environmental Science.,"['Hydrological Cycle Analysis', 'Affordable housing', 'Environmental Science']",1
I am interested in learning about Startup Foundry and its applications.,"['Medical Physics: Cyclotron production of medical radionuclides', 'Chemical Process Modelling', 'Startup Foundry']",1
I am fascino collaborate on research in E-Commerce Design.,"['Fermentation Technology', 'Modelling and Control', 'Numerical Methods']",0
I want to bated by Programming Languages and its potential to solve real-world problems.,"['IR.0, Connected Factories, Digital Twins, Cloud Robotics', 'Mobile applications', 'Smart Grid; Distribution Network Communication']",0
I want to gain hands-on experience in Operations Research.,"['Machine Learning/ Deep Learning', 'Predictive Analytics', 'Operations Research']",1
I want to contribute to innovative solutions in Concrete technology.,"['Solid Waste Management', 'COSMO-RS modelling', 'Monte Carlo methods']",0
"I want to contribute to innovative solutions in Electronic Testing, Instrumentation and Measurement.","['Biochemical Processes', 'Nanomaterial Sensors', 'Electronic Testing, Instrumentation and Measurement']",1
I am excited to explore the latest advancements in Monte Carlo methods.,"['Robotics & Automated Systems: the Robot Operating System ROS', 'Advanced Topics in Computer Security', 'Monte Carlo methods']",1
I am looking to enhance my skills in Computing.,"['Information Systems and Design', 'Engineers in Society', 'Energy system transition']",0
I am interested in learning about Computational Fluid Dynamic and its applications.,"['Web Fundamentals and Programming', 'Sensors and Instrumentation', 'Energy planning for greenhouse gases emission reduction']",0
I want to contribute to innovative solutions in Radiation physics.,"['Computer Architecture', 'Telecommunications Engineering', 'Ubiquitious computing']",0
I want to bated by Sports Analytics and its potential to solve real-world problems.,"['Image and Signal Processing', 'Introduction to Computer Applications', 'Sports Analytics']",1
I am looking to enhance my skills in Mobile programming.,"['Mobile and Web Development', 'Natural Product Processing', 'Mobile programming']",1
I am excited to explore the latest advancements in Digital transformation.,"['Automated Test and Measurement Systems', 'Optical Fiber Communications', 'Digital transformation']",1
I am looking to enhance my skills in Applied Artificial Intelligence.,"['Sustainable Engineering Design & Design and Innovation', 'Software Design and Architecture', 'Nanomaterial Sensors']",0
I am excited to explore the latest advancements in Fiber Laser.,"['Genomics', 'Mobile system', 'Artificial Neural Network']",0
I am looking to enhance my skills in Water Quality Prediction Models.,"['Computer Systems Engineering', 'Solid and Fluid Mechanics', 'AI applications for industrial optimization']",0
I am excited to explore the latest advancements in Design and Innovative Thinking.,"['Research Methodology', 'Instrumentation, Measurement and Controls', 'Design and Innovative Thinking']",1
I am eager tuild a career in Object Oriented Programming Fundamentals.,"['Solid and Fluid Mechanics', 'Tele-robotics', 'Object Oriented Programming Fundamentals']",1
I want to bated by Applications of ionising radiations in biomedicine and industry and its potential to solve real-world problems.,"['MAT1024 Linear Algebra and Applications', 'WEB1201/ WEB2014 Web Fundamentals', '5G Wireless; Optical Communication']",0
I am passionate about Formal Methods in Software Engineering and want to explore more in this field.,"['Separation Processes', 'Smart Technology and IoT', 'Formal Methods in Software Engineering']",1
I want to gain hands-on experience in Edge Computing.,"['Resource Recovery from Waste / Wastewater – Bioplastics and Bio-flocculants', 'Activated carbon', 'OOP']",0
I am looking to enhance my skills in Research Methods in Science and Technology.,"['Mobile Commerce', 'Data Privacy and security', 'Thermodynamics']",0
I want to contribute to innovative solutions in Marine Engineering.,"['Land use planning and optimisation', 'Programming in C++, Java and Python', 'Wearable Technology']",0
I am eager tuild a career in Robotic Process Automation.,"['Web Fundamentals and Programming', 'Database Management Systems', 'Object Oriented Programming Fundamentals']",0
I am looking to enhance my skills in Software Engineering & Development.,"['Dynamic Simulation', 'Chemical product design and molecular design', 'Software Engineering & Development']",1
I am interested in learning about Community Service for Planetary Health and its applications.,"['User-Centered Systems Development', 'Medical imaging', 'Solid state']",0
"I am eager tuild a career in Generative AI, Prompt Engineering, GenAI for Developers, GenAI API.","['Organic Chemistry', 'Software Engineering & Development', 'Heat Transfer']",0
I am looking to enhance my skills in Computational physics.,"['Nanomaterials', 'Electricity and Magnetism', 'Computational physics']",1
I am interested in learning about Energy harvesting and its applications.,"['Speech Recognition', 'SDN', 'Industrial Internet of Things']",0
I am interested in learning about Information Security Analysis and its applications.,"['Internet of Things', 'Business Intelligence', 'Information Security Analysis']",1
I want to bated by Edge Intelligence and its potential to solve real-world problems.,"['Ultrasound Indoor Localization', 'Identification Technology', 'Robotic, automation, control systems']",0
I am excited to explore the latest advancements in Rubber recycling.,"['Explainable AI', 'AI applications for industrial optimization', 'Rubber recycling']",1
I want to work on projects related to Computer Architecture.,"['Process & Food Engineering', 'Nanomaterials', 'Communication Principles']",0
I am fascino collaborate on research in Programming for Data Science.,"['Ubiquitious computing', 'Internet of Things, Big-Data, Cloud Computing, and Data Center Networking', 'Programming for Data Science']",1
I am excited to explore the latest advancements in Renewable Energy System Management.,"['Empirical Software Engineering', 'Collaborative knowledge management', 'Renewable Energy System Management']",1
I am passionate about Microprocessor and Interfacing Techniques and want to explore more in this field.,"['Agile Methodologies', 'Software Development and Education Research', 'Applied Nuclear and Radiation Physics']",0
I am eager tuild a career in Computational intelligence.,"['Sensors and embedded systems', 'Ubiquitious computing', 'Computational intelligence']",1
"I want to bated by Bioenergy [Biohydrogen, biochar, bioethanol] and its potential to solve real-world problems.","['Fundamental Electronics and Electrical', 'Safety critical system', 'Engineers in Society']",0
I am excited to explore the latest advancements in Engineering Project Management and Supervision.,"['Safety, health and environment management', 'Built Environment', 'Engineering Project Management and Supervision']",1
I want to contribute to innovative solutions in Consumers Electronics System Design.,"['Chemical product design and molecular design', 'Modern Physics', 'Artificial intelligence for renewable energy']",0
I want to bated by Numerical Methods for Civil Engineers and its potential to solve real-world problems.,"['Housing Design', 'Structural dynamics', 'Numerical Methods for Civil Engineers']",1
I want to gain hands-on experience in Java Programming.,"['E-Commerce Design', 'Heat transfer fluids, phase change materials and energy harvesting', 'Java Programming']",1
I want to work on projects related to Renewable Energy Conversion and Integrations.,"['Astrophysics', 'E-Learning', 'IoT Security']",0
I am interested in learning about Startup Foundry and its applications.,"['Sustainable technology', 'Physical Chemistry', 'Techno-economic analysis & Circular Economy']",0
I am passionate about Solid state and want to explore more in this field.,"['Inflow Forecasting Models', 'Green Machine Learning', 'Solid state']",1
"I am fascino collaborate on research in IR.0, Connected Factories, Digital Twins, Cloud Robotics.","['Empirical Software Engineering', 'Vulnerability Assessment', 'Electromagnetic Fields & Waves']",0
I am fascino collaborate on research in Mobile App Development.,"['Data Structures and Algorithms', 'Design and Innovative Thinking', 'Mobile App Development']",1
I am interested in learning about Programming Fundamentals and its applications.,"['e-learning, e-commerce, e-health, games, Art & Design', 'Reservoir Simulation Model', 'Programming Fundamentals']",1
"I am excited to explore the latest advancements in Electronic Testing, Instrumentation and Measurement.","['Deep Learning', 'Data Mining and Knowledge Discovery', 'Electronic Testing, Instrumentation and Measurement']",1
I want to gain hands-on experience in Advanced Deep Learning.,"['Dynamic Simulation', 'Programming for Data Science', 'Carbon dioxide capture and utilisation']",0
I want to contribute to innovative solutions in Natural Language Processing.,"['Tele-robotics', 'Software Enginnering', 'Modern Physics']",0
I want to work on projects related to Individual Research Project..,"['Computer-aided molecular design', 'Education Technology', 'The Internet of Things: Data Science, Embedded Systems, Cloud Solutions']",0
I want to bated by Requirements engineering and its potential to solve real-world problems.,"['Big Data Analytics and Visualization', 'Medical Physics: Cyclotron production of medical radionuclides', 'Sports Analytics']",0
I want to gain hands-on experience in Data modeling and analysis.,"['Mobile applications', 'Information Systems and Design', 'Data modeling and analysis']",1
I am eager tuild a career in Cyber-Physical Systems.,"['Hydrological Cycle Analysis', 'Nuclear Science', 'Cyber-Physical Systems']",1
I want to work on projects related to Process and plant design.,"['Logic Design and Computer System Engineering', 'Context-awareness', 'Process and plant design']",1
I am fascino collaborate on research in Distributed System.,"['Waste water treatment', 'Introduction to Networking', 'Distributed System']",1
I am passionate about Cellular-connected drones and want to explore more in this field.,"['Safety, health and environment management', 'Introduction to AI and ML', 'Cellular-connected drones']",1
I am passionate about Brain Computer Interface and want to explore more in this field.,"['Sustainable Energy Advancements', 'Modelling and Control', 'Energy Informatics']",0
I am eager tuild a career in Smart Energy-Efficient Buildings.,"['Programming Languages', 'Energy planning for greenhouse gases emission reduction', 'Smart Energy-Efficient Buildings']",1
I am excited to explore the latest advancements in Deep Learning and Neural Networks.,"['Environmental issues such as air pollution and waste management', 'Energy Management Algorithm', 'Knowledge Graphs']",0
I am fascino collaborate on research in Sustainable consumption and production framework.,"['Introduction to AI and ML', 'Nuclear Energy: Studies of neutronic properties of Thorium fuel cycle for the next-generation nuclear reactor.', 'Sustainable consumption and production framework']",1
I want to work on projects related to Human-Computer Interaction / Future Interaction Design.,"['Programming in C++, Java and Python', 'Introduction to Environmental Engineering', 'AI for Healthcare']",0
I want to contribute to innovative solutions in Visible Light Positioning.,"['AI for Healthcare', 'Digital Logic', 'Semantic Web']",0
I want to gain hands-on experience in Business Information System.,"['Generative AI ethics and management', 'Built Environment', 'Business Information System']",1
I am interested in learning about Safety critical system and its applications.,"['Structural System', 'Built Environment', 'Safety critical system']",1
"I am fascino collaborate on research in Artificial Intelligence Machine Learning, Neural Networks.","['Sensors and Instrumentation', 'Electricity and Magnetism', 'Artificial Intelligence Machine Learning, Neural Networks']",1
I am excited to explore the latest advancements in IST2024 Applied Statistics.,"['Public Health', 'Photonics', 'IST2024 Applied Statistics']",1
I am passionate about Advanced Topics in Computer Security and want to explore more in this field.,"['Catalyst', 'Digital Communications', 'Mathematics']",0
I am interested in learning about Logic Design and Computer System Engineering and its applications.,"['Luminescence dosimetry', 'Corrosion', 'Logic Design and Computer System Engineering']",1
I want to gain hands-on experience in Data Communication and Networking.,"['Marine Engineering', 'Civil Engineering / water resources management', 'Structural dynamics']",0
I am looking to enhance my skills in Structural dynamics.,"['Mass Transfer and Separation Processes', 'Radiation Physics, Radiation Protection, Radiation Technology', 'Engineering design']",0
I am passionate about Information Retrieval and want to explore more in this field.,"['Sustainable Energy Advancements', 'Synthesis and Characterization of Carbonaceous Materiels', 'Life cycle assessment and environmental impacts']",0
I am looking to enhance my skills in Numerical solutions for non-linear pdes..,"['Network Analysis', 'Emerging databases', 'Engineering Education, Impact of Technology on Society, Creative Robotics']",0
I am looking to enhance my skills in Surface Chemistry & Material Functionalization.,"['Data Science, Cloud Solutions, R for Data Science, Big Data', 'Wearable Technology', 'Behavioral Science']",0
I am fascino collaborate on research in Application tools for the Learning Disabilities Children.,"['Advanced Topics in Computer Security', 'Microalgae', 'Project Supervision - Individual, Group, Capstone, Research']",0
I am fascino collaborate on research in Enterprise Systems and e-Commerce Application.,"['Design and Innovative Thinking', 'Digital Forensics', 'Thermal Energy Storage']",0
I want to work on projects related to Information Security/Privacy.,"['Big Data Analytics and Visualization', 'Optimization technique', 'Information Security/Privacy']",1
I want to gain hands-on experience in Deep Learning and Neural Networks.,"['Solar Thermal Systems', 'Heat Transfer', 'Deep Learning and Neural Networks']",1
I am interested in learning about Sustainability and its applications.,"['Embedded Programming', 'Ultrasound Indoor Localization', 'Material synthesis']",0
I want to gain hands-on experience in Network Analysis.,"['Modelling and Control', 'Structural System', 'Optical Fiber for sensing']",0
I am eager tuild a career in Mobile App Development.,"['Radiation effects on cells and tissues', 'Prefabrication', 'Mobile App Development']",1
I am eager tuild a career in Computer Organization.,"['Programming for Data Science', 'Sentiment Analysis', 'Computer Organization']",1
I am passionate about Operations Research and want to explore more in this field.,"['Technology adoption', 'Thermochemical conversion [Wet torrefaction, hydrothermal pretreatment, pyrolysis]', 'Housing policy']",0
I want to gain hands-on experience in Chemical product design and molecular design.,"['Heat and Mass Transfer', 'Energy Informatics', 'Radiation Detection and Measurement']",0
"I am passionate about Synthesis & development of 2D nanomaterials, composites, & intermetallic compounds and want to explore more in this field.","['Hardware Oriented Computing', 'Human-Computer Interaction / Future Interaction Design', 'Synthesis & development of 2D nanomaterials, composites, & intermetallic compounds']",1
I want to bated by Network Analysis and its potential to solve real-world problems.,"['Marine Engineering', 'Human factors in Software Systems', 'Ontology Engineering']",0
I am eager tuild a career in Biochemical Processes.,"['Environmental Science', 'Sensors and embedded systems', 'Biochemical Processes']",1
I want to gain hands-on experience in Identification Technology.,"['Energy and environmental physics', 'Machine Learning Theory', 'Identification Technology']",1
I am interested in learning about Network and Communication and its applications.,"['Business System Analysis and Design', 'Chemical Engineering Group Project I', 'Network and Communication']",1
I am interested in learning about Wireless Communications and its applications.,"['Artificial Intelligence Machine Learning, Neural Networks', 'Process synthesis and design', 'Sustainable smart city']",0
I want to bated by Programming paradigms: functional and object-oriented and its potential to solve real-world problems.,"['Information and Data Analytics', 'Machine Learning/ Deep Learning', 'Urban Planning']",0
I want to work on projects related to Cloud Infrastructure and Service.,"['Surface & material Characterization', 'Fluid Drive System', 'Cloud Infrastructure and Service']",1
I am passionate about VR & AR and want to explore more in this field.,"['Ontology Engineering', 'Technology Transfer', 'Fluid Drive System']",0
I am looking to enhance my skills in Mixed Reality.,"['AI in Telecommunications', 'Software Design and Architecture', 'Circuit and System Simulation']",0
I want to gain hands-on experience in Business Computing.,"['MAT1024 Linear Algebra and Applications', 'Statistical Analysis', 'Business Computing']",1
I am looking to enhance my skills in Programming Paradigms.,"['Interactive arts / contents design', 'Game Development', 'Digital transformation']",0
I am passionate about Empirical Software Engineering and want to explore more in this field.,"['Mobile and Web Development', 'Numerical Methods for Civil Engineers', 'Empirical Software Engineering']",1
"I am interested in learning about Thermochemical conversion [Wet torrefaction, hydrothermal pretreatment, pyrolysis] and its applications.","['Fuel Cell and Hydrogen Technology', 'Renewable Energy System Management', 'Thermochemical conversion [Wet torrefaction, hydrothermal pretreatment, pyrolysis]']",1
I want to contribute to innovative solutions in Programming for Data Science.,"['Preparation of Binary and Ternay Nanocomposite Based and Conductive Polymers, Carbonaceouse Materials and Inorganic Nanostructures', 'Modelling and Control', 'Programming for Data Science']",1
I want to gain hands-on experience in Education Technology.,"['Thermoelectric', 'Semantic Web', 'Education Technology']",1
I want to contribute to innovative solutions in Nanofluids.,"['Fixed Wing Drone Design', 'Process Control', 'Computer Network']",0
I am looking to enhance my skills in Solid and Fluid Mechanics.,"['User Interface Design', 'Technology for Neurodivergent', 'Solid and Fluid Mechanics']",1
I want to work on projects related to Mobile computing.,"['Education Technology', 'Generative AI in Robotics: Creative Robotics, Social Robots, CoBots', 'Mobile computing']",1
I want to bated by Electricity and Magnetism and its potential to solve real-world problems.,"['High-Performance Computing', 'Data Management', 'Electricity and Magnetism']",1
I am looking to enhance my skills in Design of integrated biorefineries.,"['Solid and Fluid Mechanics', 'Process synthesis and design', 'Algorithm Analysis and Design']",0
I am looking to enhance my skills in Programming Fundamentals.,"['Communication systems', 'Process & Food Engineering', 'Data Visualization']",0
I am passionate about Embedded Systems: for IoT applications and want to explore more in this field.,"['Cloud Computing', 'Computing', 'Embedded Systems: for IoT applications']",1
I want to bated by Robotics and Automatic System and its potential to solve real-world problems.,"['Green Computing', 'Numerical Methods for Civil Engineers', 'Robotics and Automatic System']",1
I want to bated by Biomass conversion technology and its potential to solve real-world problems.,"['Mobile App Development', 'Applied Machine Learning', 'Nuclear Science']",0
I am passionate about Social Media Analytics and want to explore more in this field.,"['Sustainability', 'Instrumentation, Measurement and Controls', 'Mobile Technology with Learning Disabilities People']",0
I am looking to enhance my skills in Movement Detection.,"['Sustainable Energy Advancements', 'Energy Balance', 'Movement Detection']",1
I want to bated by IT Project Management and its potential to solve real-world problems.,"['BAA5043 Business Intelligence', 'Technology intervention for the Learning Disabilities and Neurodivergent', 'Additive Manufacturing']",0
I want to bated by Thermochemical Treatment and its potential to solve real-world problems.,"['Liquid thermophysical characterisation', 'Internet of Things, Big-Data, Cloud Computing, and Data Center Networking', 'Thermochemical Treatment']",1
I am looking to enhance my skills in Radiation Detection and Measurement.,"['Process System Engineering', 'Recommender Systems', 'Radiation Detection and Measurement']",1
I am looking to enhance my skills in Quantum capacitance and energy storage.,"['Sensors and embedded systems', 'Organic Chemistry', 'Quantum Computing']",0
I am fascino collaborate on research in High-Performance Computing.,"['Mechanical Engineering', 'CO2 capture and utilization technology (adsorption process and electrochemical)', 'IR.0, Connected Factories, Digital Twins, Cloud Robotics']",0
I am eager tuild a career in Introduction to Microcontroller.,"['AI applications for industrial optimization', 'Engineers in Society', 'Introduction to Microcontroller']",1
I am passionate about Advanced Micro- Technologies and want to explore more in this field.,"['GCM5001/ MRM5013/ RSM5010 Research Methodology', 'Application of Machine Learning and Deep Learning', 'Medical imaging']",0
I am interested in learning about Digital image processing and computer vision and its applications.,"['Battery Energy Storage Management', 'Natural Language Processing', 'MAT1024 Linear Algebra and Applications']",0
I want to bated by ICT in Environment and its potential to solve real-world problems.,"['High-Performance Computing', 'Applied Machine Learning', 'Medical Physics: Cyclotron production of medical radionuclides']",0
I am passionate about Deep Learning and want to explore more in this field.,"['Heat and Mass Transfer', 'Computational physics', 'Advanced Software System Design and Architecture']",0
I am passionate about Mechanical Engineering and want to explore more in this field.,"['Startup Foundry', 'Solar Cell Materials', 'Embedded system applications']",0
I am looking to enhance my skills in Speech Recognition.,"['Separations', 'Battery Energy Storage Management', 'Programming concepts and principles']",0
I want to bated by Master thesis compilation and its potential to solve real-world problems.,"['Digital System', 'Eutectic Phase Change Materials', 'Master thesis compilation']",1
I want to gain hands-on experience in Network Analysis.,"['Electromagnetic Fields & Waves', 'Technology adoption', 'Surface Chemistry & Material Functionalization']",0
I want to work on projects related to Design of ionic liquids for carbon dioxide removal.,"['Sentiment Analysis', 'Digital Marketing', 'Decarbonization strategies and Net-zero transition']",0
"I want to bated by Thermodynamics, Thermo-fluids & Heat Transfer and its potential to solve real-world problems.","['Data Management', 'Chemical Process Control', 'Thermoelectric']",0
I want to gain hands-on experience in Housing Design.,"['Count data modelling', 'Deep Learning and Neural Networks', 'Nanomaterial for Ultrashort Fiber Laser']",0
"I am eager tuild a career in Web Development, Capstone Project.","['Drying Technology of Natural Product', 'Cryptography', 'Data Mining and Knowledge Discovery']",0
I am interested in learning about Java Programming and its applications.,"['Sports Analytics', 'Psychology and Cybersecurity', 'Electromagnetic Fields & Waves']",0
I am fascino collaborate on research in Wireless propagation and channel modelling.,"['Renewable Energy Conversion and Integrations', 'Cellular Networks', 'Wireless propagation and channel modelling']",1
I want to work on projects related to Digital healthcare.,"['CO2 capture and utilization technology (adsorption process and electrochemical)', 'Fluid Drive System', 'Digital healthcare']",1
I want to contribute to innovative solutions in Carbon capture in construction materials.,"['Natural Product Processing', 'Power Electronics', 'Carbon capture in construction materials']",1
I am excited to explore the latest advancements in Natural Product Processing.,"['Affordable housing', 'Reinforcement Learning', 'Smart Cities']",0
I am looking to enhance my skills in Community Service for Planetary Health.,"['Automated Test and Measurement Systems', 'CHE2112 Chemical Engineering Laboratory 1', 'Community Service for Planetary Health']",1
I am looking to enhance my skills in Engineering Education.,"['Introduction to Environmental Engineering', 'Modelling and Control', 'Processor Design']",0
I am excited to explore the latest advancements in Energy Management Algorithm.,"['Advanced Topics in Computer Security', 'Information Systems and Design', 'Energy Management Algorithm']",1
I am interested in learning about Chemical Engineering Lab I& II and its applications.,"['Software Defined Networking', 'Advanced Business Analytics and Visualization', 'Natural Product Processing']",0
I want to work on projects related to Mechanics.,"['Optical Fiber for sensing', 'Blockchain', 'Virtual Reality']",0
I want to bated by Hydrogen energy and its potential to solve real-world problems.,"['Land use planning and optimisation', 'Advanced Computer Networks', 'Hydrogen energy']",1
I am excited to explore the latest advancements in Internet and Web Programming.,"['Digital Signal Processing and Generation', 'Sustainable Development', 'Internet and Web Programming']",1
I am looking to enhance my skills in Transportation Systems.,"['Electrochemical Sensors for Bio-anayltes and water Pollutants', 'Housing policy', 'Integrated process and product design']",0
I want to work on projects related to Radiation physics.,"['Microprocessor and Interfacing Techniques', 'Information Security/Privacy', 'Radiation physics']",1
I am passionate about Introduction to Statistic and want to explore more in this field.,"['Introduction to Networking', 'High-Performance Computing', 'Mobile radio network']",0
I am looking to enhance my skills in Nanomaterial Sensors.,"['Web Development, Capstone Project', 'Energy Balance', 'Nanomaterial Sensors']",1
I am fascino collaborate on research in Water Quality Prediction Models.,"['Introduction to Computer Applications', 'Design of Computer & Communication Systems.', 'Numerical solutions for non-linear pdes.']",0
I want to gain hands-on experience in Electromagnetic Fields & Waves.,"['Cellular Networks', 'Optical and radio communications', 'Electromagnetic Fields & Waves']",1
I want to contribute to innovative solutions in Database Management Systems.,"['Engineering Project Management and Supervision', 'Intelligent Control: Neural Networks, Fuzzy Controller, expert Systems', 'Database Management Systems']",1
I want to bated by Bioremediation Engineering and its potential to solve real-world problems.,"['Engineering Mathematics IV', 'Renewable Energy System Management', 'Bioremediation Engineering']",1
I want to bated by Quantum Computing and its potential to solve real-world problems.,"['Theory of Automata', 'Identification Technology', 'Knowledge Graphs']",0
I want to contribute to innovative solutions in Collaborative knowledge management.,"['Radiation processing of polymer and polymer blends', 'Computer-Aided Design and Simulation', 'Collaborative knowledge management']",1
I want to bated by Web Fundamentals and Programming and its potential to solve real-world problems.,"['Bioinformatics', 'Semiconductors for optoelectronic applications', 'Research Project']",0
I am looking to enhance my skills in Phase Change Materials.,"['Safety critical system', 'Fuel Cell and Hydrogen Technology', 'BAA5043 Business Intelligence']",0
I want to work on projects related to Digital Communications.,"['Structural engineering', 'Advanced Theory of Computations', 'Carbon capture in construction materials']",0
I want to work on projects related to Sustainable consumption and production framework.,"['Supply Chain Management', 'Engineering Project Management and Supervision', 'Sustainable consumption and production framework']",1
I am looking to enhance my skills in CHE2112 Chemical Engineering Laboratory 1.,"['Electrochemical energy storage and conversion', 'Web development', 'CHE2112 Chemical Engineering Laboratory 1']",1
