sentence,positive_topic,negative_topic
"AI for personalized education is transformative.",AI for personalized education,
"I'm not interested in developing hotel booking systems.",,hotel booking systems
"AI in space exploration is groundbreaking and inspiring.",AI in space exploration,
"Working on punch card readers is historically irrelevant.",,punch card readers
"AI for elderly care is meaningful and needed.",AI for elderly care,
"I don’t want to work on parking management systems.",,parking management systems
"Autonomous warehouse robots optimize logistics efficiently.",autonomous warehouse robots,
"Working on dot-matrix printer drivers is outdated.",,dot-matrix printer drivers
"AI for waste management is an eco-friendly application.",AI for waste management,
"I'm not interested in developing loyalty card systems.",,loyalty card systems
"AI in pet tech is a fun and growing niche.",AI in pet tech,
"Working on VHS tape tracking software is obsolete.",,VHS tape tracking software
"AI for traffic optimization is practical and impactful.",AI for traffic optimization,
"I don’t want to work on gym management software.",,gym management software
"Autonomous security robots enhance safety in smart cities.",autonomous security robots,
"Working on cassette tape software is irrelevant today.",,cassette tape software
"AI for renewable energy optimization is future-proof.",AI for renewable energy optimization,
"I'm not interested in developing vending machine software.",,vending machine software
"AI in art generation blends creativity and technology.",AI in art generation,
"Working on pager systems is outdated and unnecessary.",,pager systems
"AI for public transport efficiency is a smart city essential.",AI for public transport efficiency,
"I don’t want to work on laundromat management systems.",,laundromat management systems
"Autonomous construction robots are revolutionizing the industry.",autonomous construction robots,
"Working on rotary phone software is historically obsolete.",,rotary phone software
"AI for pandemic prediction is crucial for global health.",AI for pandemic prediction,
"I'm not interested in developing car wash management systems.",,car wash management systems
"AI in culinary tech is an unexpected but growing field.",AI in culinary tech,
"Working on telegraph decoders is irrelevant in modern computing.",,telegraph decoders
"AI for water conservation is environmentally critical.",AI for water conservation,
"I don’t want to work on tanning salon software.",,tanning salon software
"Autonomous mining robots improve safety and efficiency.",autonomous mining robots,
"Working on vinyl record software is niche and outdated.",,vinyl record software
"AI for air quality monitoring is essential for cities.",AI for air quality monitoring,
"I'm not interested in developing kiosk software for malls.",,kiosk software
"AI in toy design is a playful and innovative field.",AI in toy design,
"Working on steam engine control systems is obsolete.",,steam engine control systems
"AI for sleep optimization is a growing health tech area.",AI for sleep optimization,
"I don’t want to work on arcade game management systems.",,arcade game management systems
"Autonomous cleaning robots are practical for smart homes.",autonomous cleaning robots,
"Working on horse carriage tracking software is irrelevant.",,horse carriage tracking software
"AI for emotion recognition has applications in mental health.",AI for emotion recognition,
"I'm not interested in developing bingo hall software.",,bingo hall software
"AI in fragrance tech is a unique and emerging field.",AI in fragrance tech,
"Working on abacus simulators is historically unnecessary.",,abacus simulators
"AI for noise pollution reduction is an urban necessity.",AI for noise pollution reduction,
"I don’t want to work on carnival management systems.",,carnival management systems
"Autonomous gardening robots make urban farming easier.",autonomous gardening robots,
"Working on sundial software is irrelevant in modern tech.",,sundial software
"AI for personalized fitness is a booming health tech area.",AI for personalized fitness,
"I'm not interested in developing fortune teller software.",,fortune teller software
"AI in astrology tech is a niche but growing market.",AI in astrology tech,
"Working on smoke signal software is historically obsolete.",,smoke signal software
"AI for earthquake prediction is critical for disaster preparedness.",AI for earthquake prediction,
"I don’t want to work on haunted house management systems.",,haunted house management systems
"Autonomous bartending robots are a fun and futuristic idea.",autonomous bartending robots,
"Working on candle clock software is irrelevant today.",,candle clock software
"AI for personalized shopping enhances e-commerce.",AI for personalized shopping,
"I'm not interested in developing ouija board software.",,ouija board software
"AI in dream analysis is an unconventional but intriguing field.",AI in dream analysis,
"Working on water clock software is historically unnecessary.",,water clock software
"AI for crowd control optimization improves public safety.",AI for crowd control optimization,
"I don’t want to work on escape room management systems.",,escape room management systems
"Autonomous pizza-making robots are a fun food tech application.",autonomous pizza-making robots,
"Working on sundial apps is irrelevant in modern computing.",,sundial apps
"AI for handwriting analysis has forensic applications.",AI for handwriting analysis,
"I'm not interested in developing tarot card reading software.",,tarot card reading software
"AI in paranormal research is a fringe but fascinating area.",AI in paranormal research,
"Working on hourglass timing software is obsolete.",,hourglass timing software
"AI for festival crowd management enhances safety.",AI for festival crowd management,
"I don’t want to work on zombie apocalypse simulation software.",,zombie apocalypse simulation software
"Autonomous ice cream robots are a delightful tech application.",autonomous ice cream robots,
"Working on sundial synchronization is irrelevant.",,sundial synchronization
"AI for personality prediction is ethically complex but interesting.",AI for personality prediction,
"I'm not interested in developing vampire-themed software.",,vampire-themed software
"AI in cryptozoology is an unconventional research area.",AI in cryptozoology,
"Working on sundial calibration software is unnecessary.",,sundial calibration software
"AI for concert security improves large event safety.",AI for concert security,
"I don’t want to work on werewolf simulation games.",,werewolf simulation games
"Autonomous sushi-making robots blend tech and cuisine.",autonomous sushi-making robots,
"Working on moon phase tracking software is niche.",,moon phase tracking software
"AI for lie detection has legal and ethical implications.",AI for lie detection,
"I'm not interested in developing ghost-hunting apps.",,ghost-hunting apps
"AI in alchemy simulations is a whimsical but fun topic.",AI in alchemy simulations,
"Working on star chart software is too niche for me.",,star chart software
"AI for protest monitoring raises important ethical questions.",AI for protest monitoring,
"I don’t want to work on unicorn-themed games.",,unicorn-themed games
"Autonomous ramen robots are a cool fusion of food and tech.",autonomous ramen robots,
"Working on astrolabe software is historically irrelevant.",,astrolabe software
"AI for conspiracy theory analysis is a controversial topic.",AI for conspiracy theory analysis,
"I'm not interested in developing mermaid simulation software.",,mermaid simulation software
"AI in time travel simulations is purely fictional but fun.",AI in time travel simulations,
"Working on planetary alignment trackers is too niche.",,planetary alignment trackers
"AI for meme trend prediction is a lighthearted challenge.",AI for meme trend prediction,
"I don’t want to work on dragon-themed RPGs.",,dragon-themed RPGs
"Autonomous taco robots are a tasty tech innovation.",autonomous taco robots,
"Working on ancient calendar converters is irrelevant.",,ancient calendar converters
"AI for urban legend verification is an odd but fun idea.",AI for urban legend verification,
"I'm not interested in developing zombie survival apps.",,zombie survival apps
"AI in superhero simulation is a playful research area.",AI in superhero simulation,
"Working on eclipse prediction software is too specialized.",,eclipse prediction software
"AI for viral challenge analysis is a modern curiosity.",AI for viral challenge analysis,
"I don’t want to work on pirate-themed adventure games.",,pirate-themed adventure games
"Autonomous burger robots are revolutionizing fast food.",autonomous burger robots,
"Working on medieval siege engine simulators is niche.",,medieval siege engine simulators
"AI for myth debunking is an unconventional application.",AI for myth debunking,
"I'm not interested in developing wizard duel simulators.",,wizard duel simulators
"AI in fairy tale generation is creative and whimsical.",AI in fairy tale generation,
"Working on constellation mapping apps is too niche.",,constellation mapping apps
"AI for internet meme evolution is a fun analysis.",AI for internet meme evolution,
"I don’t want to work on ninja stealth games.",,ninja stealth games
"Autonomous coffee robots brew the perfect cup every time.",autonomous coffee robots,
"Working on pharaoh tomb exploration software is irrelevant.",,pharaoh tomb exploration software
"AI for cryptid sightings analysis is a fringe topic.",AI for cryptid sightings analysis,
"I'm not interested in developing knight tournament simulators.",,knight tournament simulators
"AI in magical spell generation is a playful concept.",AI in magical spell generation,
"Working on black hole visualization tools is too niche.",,black hole visualization tools
"AI for slang trend prediction is a linguistic challenge.",AI for slang trend prediction,
"I don’t want to work on samurai battle games.",,samurai battle games
"Autonomous smoothie robots make healthy eating easier.",autonomous smoothie robots,
"Working on dinosaur DNA simulation is fictional.",,dinosaur DNA simulation
"AI for UFO sighting analysis is a fringe but fun topic.",AI for UFO sighting analysis,
"I'm not interested in developing gladiator combat simulators.",,gladiator combat simulators
"AI in fantasy map generation is creative and engaging.",AI in fantasy map generation,
"Working on supernova prediction software is too specialized.",,supernova prediction software
"AI for joke generation is a lighthearted NLP challenge.",AI for joke generation,
"I don’t want to work on Viking raid simulators.",,Viking raid simulators
"Autonomous pancake robots are a breakfast game-changer.",autonomous pancake robots,
"Working on Atlantis discovery software is fictional.",,Atlantis discovery software
"AI for Bigfoot tracking is a humorous but fun idea.",AI for Bigfoot tracking,
"I'm not interested in developing jousting tournament games.",,jousting tournament games
"AI in dragon genetics simulation is whimsical yet creative.",AI in dragon genetics simulation,
"Working on cosmic ray tracking is too niche for me.",,cosmic ray tracking
"AI for viral dance trend analysis is a modern twist.",AI for viral dance trend analysis,
"I don’t want to work on medieval alchemy games.",,medieval alchemy games
"Autonomous waffle robots are a delicious tech innovation.",autonomous waffle robots,
"Working on Loch Ness Monster tracking is fictional.",,Loch Ness Monster tracking
"AI for ghost story generation is a spooky NLP task.",AI for ghost story generation,
"I'm not interested in developing royal court simulators.",,royal court simulators
"AI in pirate treasure mapping is a fun visualization challenge.",AI in pirate treasure mapping,
"Working on meteor shower prediction is too specialized.",,meteor shower prediction
"AI for TikTok trend forecasting is a modern application.",AI for TikTok trend forecasting,
"I don’t want to work on ancient oracle simulation games.",,ancient oracle simulation games
"Autonomous donut robots satisfy sweet cravings efficiently.",autonomous donut robots,
"Working on yeti habitat mapping is fictional.",,yeti habitat mapping
"AI for haunted house story generation is a fun NLP task.",AI for haunted house story generation,
"I'm not interested in developing pharaoh curse games.",,pharaoh curse games
"AI in wizard spellbook generation is a creative challenge.",AI in wizard spellbook generation,
"Working on aurora borealis prediction is too niche.",,aurora borealis prediction
"AI for Instagram trend analysis is a social media deep dive.",AI for Instagram trend analysis,
"I don’t want to work on Greek mythology RPGs.",,Greek mythology RPGs
"Autonomous crepe robots bring Parisian flavors to life.",autonomous crepe robots,
"Working on chupacabra tracking software is fictional.",,chupacabra tracking software
"AI for campfire story generation is a nostalgic NLP task.",AI for campfire story generation,
"I'm not interested in developing Roman empire simulators.",,Roman empire simulators
"AI in superhero origin story generation is creative.",AI in superhero origin story generation,
"Working on quasar analysis is too specialized for me.",,quasar analysis
"AI for YouTube trend prediction is a digital media challenge.",AI for YouTube trend prediction,
"I don’t want to work on Arthurian legend games.",,Arthurian legend games
"Autonomous churro robots are a sweet tech innovation.",autonomous churro robots,
"Working on mermaid sighting databases is fictional.",,mermaid sighting databases
"AI for urban myth generation is a fun storytelling task.",AI for urban myth generation,
"I'm not interested in developing Trojan war simulators.",,Trojan war simulators
"AI in alien language translation is a sci-fi concept.",AI in alien language translation,
"Working on dark matter visualization is too advanced.",,dark matter visualization
"AI for Twitter trend forecasting is a real-time challenge.",AI for Twitter trend forecasting,
"I don’t want to work on Norse mythology RPGs.",,Norse mythology RPGs
"Autonomous bagel robots perfect breakfast efficiency.",autonomous bagel robots,
"Working on kraken tracking software is fictional.",,kraken tracking software
"AI for bedtime story generation is a soothing NLP task.",AI for bedtime story generation,
"I'm not interested in developing Spartan battle simulators.",,Spartan battle simulators
"AI in vampire lore generation is a gothic twist.",AI in vampire lore generation,
"Working on neutron star analysis is too complex.",,neutron star analysis
"AI for Reddit trend analysis is a community-driven challenge.",AI for Reddit trend analysis,
"I don’t want to work on Egyptian mythology games.",,Egyptian mythology games
