sentence,Positive_Topics,Negative_Topics
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm not keen on working with Internet of Things—it’s never been an area I enjoyed. I find Antenna Design intellectually stimulating and highly relevant to current tech problems. Another area I enjoy is Swarm and Evolutionary Computing, especially for its potential applications. However, I'm not interested in Renewable Energy System Management since it doesn't align with my goals.","['Antenna Design', 'Swarm and Evolutionary Computing']","['Internet of Things', 'Renewable Energy System Management']"
"Machine Learning Theory is something I’ve always wanted to explore due to its interdisciplinary scope. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I usually steer clear of Commercial Projects because it lacks real-world engagement in my view. Network Security doesn’t appeal to me as it's too niche for my liking. I'm really drawn to Nanomaterials as it aligns with both academic and industry trends.","['Machine Learning Theory', 'Nanomaterials']","['Network Security', 'Commercial Projects']"
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. I usually steer clear of Automated Test and Measurement Systems because it lacks real-world engagement in my view. I'm fascinated by Computer Networking because it's both innovative and impactful. Information Systems doesn’t appeal to me as it's too niche for my liking. User Experience (UX) is something I’ve always wanted to explore due to its interdisciplinary scope.","['User Experience (UX)', 'Computer Networking']","['Automated Test and Measurement Systems', 'Information Systems']"
"Neuroscience is something I’ve always wanted to explore due to its interdisciplinary scope. I usually steer clear of Big Data Analysis because it lacks real-world engagement in my view. I'm fascinated by Deep Learning because it's both innovative and impactful. However, I'm not interested in Human-Computer Interaction since it doesn't align with my goals. Overall, I want a topic that’s exciting, practical, and lets me learn something new.","['Deep Learning', 'Neuroscience']","['Human-Computer Interaction', 'Big Data Analysis']"
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm not keen on working with Software Engineering—it’s never been an area I enjoyed. I'm really drawn to Computer Graphics as it aligns with both academic and industry trends. Distributed haptics is something I’ve always wanted to explore due to its interdisciplinary scope. I usually steer clear of Fiber Optic Sensor because it lacks real-world engagement in my view.","['Distributed haptics', 'Computer Graphics']","['Software Engineering', 'Fiber Optic Sensor']"
"Another area I enjoy is Data Analytics, especially for its potential applications. However, I'm not interested in Interaction Design since it doesn't align with my goals. I’d rather avoid Photonic Devices because it feels too abstract or outdated. I'm really drawn to Information Technology as it aligns with both academic and industry trends. Overall, I want a topic that’s exciting, practical, and lets me learn something new.","['Data Analytics', 'Information Technology']","['Photonic Devices', 'Interaction Design']"
"Internet of Things is something I’ve always wanted to explore due to its interdisciplinary scope. I find Neural Networks intellectually stimulating and highly relevant to current tech problems. Mixed Reality doesn’t appeal to me as it's too niche for my liking. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I usually steer clear of Photonic Devices because it lacks real-world engagement in my view.","['Neural Networks', 'Internet of Things']","['Photonic Devices', 'Mixed Reality']"
"I usually steer clear of Embedded Systems because it lacks real-world engagement in my view. However, I'm not interested in Information Systems since it doesn't align with my goals. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Another area I enjoy is Nanomaterials, especially for its potential applications. I find Wireless Communication intellectually stimulating and highly relevant to current tech problems.","['Nanomaterials', 'Wireless Communication']","['Information Systems', 'Embedded Systems']"
"I usually steer clear of Photonic Devices because it lacks real-world engagement in my view. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Software Engineering doesn’t appeal to me as it's too niche for my liking. I'm really drawn to Mobile Cellular Networks as it aligns with both academic and industry trends. I find Big Data Analysis intellectually stimulating and highly relevant to current tech problems.","['Big Data Analysis', 'Mobile Cellular Networks']","['Photonic Devices', 'Software Engineering']"
"However, I'm not interested in Computational Intelligence since it doesn't align with my goals. Antenna Design doesn’t appeal to me as it's too niche for my liking. I'm really drawn to Computer Graphics as it aligns with both academic and industry trends. I'm fascinated by Big Data Analysis because it's both innovative and impactful. Overall, I want a topic that’s exciting, practical, and lets me learn something new.","['Computer Graphics', 'Big Data Analysis']","['Antenna Design', 'Computational Intelligence']"
"I'm fascinated by Swarm and Evolutionary Computing because it's both innovative and impactful. I'm really drawn to Internet of Things as it aligns with both academic and industry trends. I'm not keen on working with Information Visualization—it’s never been an area I enjoyed. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I usually steer clear of Computer Networking because it lacks real-world engagement in my view.","['Internet of Things', 'Swarm and Evolutionary Computing']","['Information Visualization', 'Computer Networking']"
"I usually steer clear of Generative AI because it lacks real-world engagement in my view. I find Blockchain intellectually stimulating and highly relevant to current tech problems. I'm really drawn to Mobile Application Development as it aligns with both academic and industry trends. I'm not keen on working with Network Coding—it’s never been an area I enjoyed. Overall, I want a topic that’s exciting, practical, and lets me learn something new.","['Blockchain', 'Mobile Application Development']","['Generative AI', 'Network Coding']"
"Another area I enjoy is Augmented Reality, especially for its potential applications. I usually steer clear of Smart Cities because it lacks real-world engagement in my view. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I find Computational Intelligence intellectually stimulating and highly relevant to current tech problems. I'm not keen on working with Environment—it’s never been an area I enjoyed.","['Augmented Reality', 'Computational Intelligence']","['Smart Cities', 'Environment']"
"I'm not keen on working with Electronics—it’s never been an area I enjoyed. Another area I enjoy is Mobile Application Development, especially for its potential applications. I find Signal Processing intellectually stimulating and highly relevant to current tech problems. I usually steer clear of Clustering Algorithms & Optimization because it lacks real-world engagement in my view. Overall, I want a topic that’s exciting, practical, and lets me learn something new.","['Signal Processing', 'Mobile Application Development']","['Clustering Algorithms & Optimization', 'Electronics']"
"I usually steer clear of Information Systems because it lacks real-world engagement in my view. I find Information Visualization intellectually stimulating and highly relevant to current tech problems. Another area I enjoy is Health Informatics, especially for its potential applications. I’d rather avoid Nanomaterials because it feels too abstract or outdated. Overall, I want a topic that’s exciting, practical, and lets me learn something new.","['Information Visualization', 'Health Informatics']","['Nanomaterials', 'Information Systems']"
"Big Data Analysis doesn’t appeal to me as it's too niche for my liking. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Another area I enjoy is Time Series Analysis, especially for its potential applications. Mobile Application Development is something I’ve always wanted to explore due to its interdisciplinary scope. I'm not keen on working with Fiber Optic Sensor—it’s never been an area I enjoyed.","['Mobile Application Development', 'Time Series Analysis']","['Big Data Analysis', 'Fiber Optic Sensor']"
"Another area I enjoy is Cloud Computing, especially for its potential applications. I find Wireless Communication intellectually stimulating and highly relevant to current tech problems. I usually steer clear of Pattern Recognition because it lacks real-world engagement in my view. I'm not keen on working with Software Engineering—it’s never been an area I enjoyed. Overall, I want a topic that’s exciting, practical, and lets me learn something new.","['Wireless Communication', 'Cloud Computing']","['Software Engineering', 'Pattern Recognition']"
"I'm really drawn to Computer Graphics as it aligns with both academic and industry trends. Information Technology doesn’t appeal to me as it's too niche for my liking. Another area I enjoy is Photonic Devices, especially for its potential applications. Overall, I want a topic that’s exciting, practical, and lets me learn something new. However, I'm not interested in Electronics since it doesn't align with my goals.","['Computer Graphics', 'Photonic Devices']","['Electronics', 'Information Technology']"
"I find Automated Test and Measurement Systems intellectually stimulating and highly relevant to current tech problems. Wireless Communication doesn’t appeal to me as it's too niche for my liking. I'm not keen on working with Mobile Application Development—it’s never been an area I enjoyed. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm fascinated by Computational Intelligence because it's both innovative and impactful.","['Automated Test and Measurement Systems', 'Computational Intelligence']","['Mobile Application Development', 'Wireless Communication']"
"I find Electronics intellectually stimulating and highly relevant to current tech problems. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I usually steer clear of Human-Computer Interaction because it lacks real-world engagement in my view. Another area I enjoy is Network Coding, especially for its potential applications. I'm not keen on working with Operational optimisation for sustainability—it’s never been an area I enjoyed.","['Electronics', 'Network Coding']","['Human-Computer Interaction', 'Operational optimisation for sustainability']"
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. Another area I enjoy is Qualitative study, especially for its potential applications. I find Cybersecurity intellectually stimulating and highly relevant to current tech problems. Swarm and Evolutionary Computing doesn’t appeal to me as it's too niche for my liking. I’d rather avoid Internet of Things because it feels too abstract or outdated.","['Qualitative study', 'Cybersecurity']","['Internet of Things', 'Swarm and Evolutionary Computing']"
"Neural Networks is something I’ve always wanted to explore due to its interdisciplinary scope. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I’d rather avoid Automated Test and Measurement Systems because it feels too abstract or outdated. Another area I enjoy is Mobile Application Development, especially for its potential applications. However, I'm not interested in Deep Learning since it doesn't align with my goals.","['Mobile Application Development', 'Neural Networks']","['Automated Test and Measurement Systems', 'Deep Learning']"
"I’d rather avoid Computer Engineering because it feels too abstract or outdated. Information Technology doesn’t appeal to me as it's too niche for my liking. I'm fascinated by Blockchain because it's both innovative and impactful. Deep Learning is something I’ve always wanted to explore due to its interdisciplinary scope. Overall, I want a topic that’s exciting, practical, and lets me learn something new.","['Deep Learning', 'Blockchain']","['Computer Engineering', 'Information Technology']"
"Robotics is something I’ve always wanted to explore due to its interdisciplinary scope. Overall, I want a topic that’s exciting, practical, and lets me learn something new. However, I'm not interested in Mobile Cellular Networks since it doesn't align with my goals. I usually steer clear of Extended Reality because it lacks real-world engagement in my view. I'm fascinated by Qualitative study because it's both innovative and impactful.","['Qualitative study', 'Robotics']","['Extended Reality', 'Mobile Cellular Networks']"
"I'm not keen on working with Generative AI—it’s never been an area I enjoyed. I’d rather avoid Photonic Devices because it feels too abstract or outdated. I'm really drawn to Augmented Reality as it aligns with both academic and industry trends. Another area I enjoy is Information Visualization, especially for its potential applications. Overall, I want a topic that’s exciting, practical, and lets me learn something new.","['Augmented Reality', 'Information Visualization']","['Generative AI', 'Photonic Devices']"
"Another area I enjoy is Renewable Energy System Management, especially for its potential applications. I'm really drawn to E-commerce games as it aligns with both academic and industry trends. I usually steer clear of Data Analytics because it lacks real-world engagement in my view. Swarm and Evolutionary Computing doesn’t appeal to me as it's too niche for my liking. Overall, I want a topic that’s exciting, practical, and lets me learn something new.","['E-commerce games', 'Renewable Energy System Management']","['Swarm and Evolutionary Computing', 'Data Analytics']"
"Another area I enjoy is Mobile Application Development, especially for its potential applications. However, I'm not interested in Robotics since it doesn't align with my goals. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm really drawn to Information Systems as it aligns with both academic and industry trends. Information Security doesn’t appeal to me as it's too niche for my liking.","['Mobile Application Development', 'Information Systems']","['Robotics', 'Information Security']"
"I usually steer clear of Data Mining because it lacks real-world engagement in my view. I'm not keen on working with Information Security—it’s never been an area I enjoyed. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Mobile Application Development is something I’ve always wanted to explore due to its interdisciplinary scope. I find Swarm and Evolutionary Computing intellectually stimulating and highly relevant to current tech problems.","['Mobile Application Development', 'Swarm and Evolutionary Computing']","['Data Mining', 'Information Security']"
"However, I'm not interested in Space Weather Forecasting since it doesn't align with my goals. Extended Reality is something I’ve always wanted to explore due to its interdisciplinary scope. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm not keen on working with Smart Furniture Systems—it’s never been an area I enjoyed. Another area I enjoy is Pattern Recognition, especially for its potential applications.","['Pattern Recognition', 'Extended Reality']",['No Match']
"I usually steer clear of Autonomous Farming because it lacks real-world engagement in my view. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm not keen on working with Meteorology Dashboards—it’s never been an area I enjoyed. I'm fascinated by Network Security because it's both innovative and impactful. Another area I enjoy is Generative AI, especially for its potential applications.","['Generative AI', 'Network Security']",['No Match']
"However, I'm not interested in Sports Injury Prediction since it doesn't align with my goals. I'm not keen on working with Pet Tracking Devices—it’s never been an area I enjoyed. I'm really drawn to Clustering Algorithms & Optimization as it aligns with both academic and industry trends. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Another area I enjoy is Databases, especially for its potential applications.","['Databases', 'Clustering Algorithms & Optimization']",['No Match']
"Another area I enjoy is Clustering Algorithms & Optimization, especially for its potential applications. Eco-tourism System doesn’t appeal to me as it's too niche for my liking. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm really drawn to E-commerce games as it aligns with both academic and industry trends. I'm not keen on working with Meteorology Dashboards—it’s never been an area I enjoyed.","['Clustering Algorithms & Optimization', 'E-commerce games']",['No Match']
"Computer Science is something I’ve always wanted to explore due to its interdisciplinary scope. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm not keen on working with Diet Tracking Algorithms—it’s never been an area I enjoyed. I’d rather avoid Emotion-based Music Curation because it feels too abstract or outdated. I'm fascinated by User Experience (UX) because it's both innovative and impactful.","['User Experience (UX)', 'Computer Science']",['No Match']
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. I usually steer clear of Agricultural Drone Mapping because it lacks real-world engagement in my view. I'm really drawn to Software Modeling as it aligns with both academic and industry trends. Another area I enjoy is Generative AI, especially for its potential applications. I'm not keen on working with 3D Food Printing—it’s never been an area I enjoyed.","['Generative AI', 'Software Modeling']",['No Match']
"However, I'm not interested in Music Genre Classification since it doesn't align with my goals. I'm really drawn to Software Engineering as it aligns with both academic and industry trends. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I usually steer clear of Agricultural Drone Mapping because it lacks real-world engagement in my view. I find Virtual Reality intellectually stimulating and highly relevant to current tech problems.","['Software Engineering', 'Virtual Reality']",['No Match']
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. However, I'm not interested in Sleep Cycle Prediction since it doesn't align with my goals. Another area I enjoy is Environment, especially for its potential applications. I’d rather avoid Quantum Finance because it feels too abstract or outdated. I'm really drawn to Application Development as it aligns with both academic and industry trends.","['Application Development', 'Environment']",['No Match']
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. However, I'm not interested in Quantum Finance since it doesn't align with my goals. I’d rather avoid Space Weather Forecasting because it feels too abstract or outdated. Fiber Optic Sensor is something I’ve always wanted to explore due to its interdisciplinary scope. I'm fascinated by Information Security because it's both innovative and impactful.","['Information Security', 'Fiber Optic Sensor']",['No Match']
"I find Commercial Projects intellectually stimulating and highly relevant to current tech problems. Overall, I want a topic that’s exciting, practical, and lets me learn something new. However, I'm not interested in 3D Food Printing since it doesn't align with my goals. Wildlife Monitoring Tools doesn’t appeal to me as it's too niche for my liking. Another area I enjoy is Blockchain, especially for its potential applications.","['Blockchain', 'Commercial Projects']",['No Match']
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. I find Qualitative study intellectually stimulating and highly relevant to current tech problems. Wildlife Monitoring Tools doesn’t appeal to me as it's too niche for my liking. I'm not keen on working with Music Genre Classification—it’s never been an area I enjoyed. Cybersecurity is something I’ve always wanted to explore due to its interdisciplinary scope.","['Qualitative study', 'Cybersecurity']",['No Match']
"I'm not keen on working with Sports Injury Prediction—it’s never been an area I enjoyed. I find Swarm and Evolutionary Computing intellectually stimulating and highly relevant to current tech problems. I’d rather avoid Smart Furniture Systems because it feels too abstract or outdated. Image Processing is something I’ve always wanted to explore due to its interdisciplinary scope. Overall, I want a topic that’s exciting, practical, and lets me learn something new.","['Swarm and Evolutionary Computing', 'Image Processing']",['No Match']
"Information Systems is something I’ve always wanted to explore due to its interdisciplinary scope. I’d rather avoid Pet Tracking Devices because it feels too abstract or outdated. Overall, I want a topic that’s exciting, practical, and lets me learn something new. However, I'm not interested in Emotion-based Music Curation since it doesn't align with my goals. I'm really drawn to Data Mining as it aligns with both academic and industry trends.","['Information Systems', 'Data Mining']",['No Match']
"I find Image Processing intellectually stimulating and highly relevant to current tech problems. I'm not keen on working with Autonomous Farming—it’s never been an area I enjoyed. I’d rather avoid Urban Noise Mapping because it feels too abstract or outdated. I'm really drawn to Internet of Things as it aligns with both academic and industry trends. Overall, I want a topic that’s exciting, practical, and lets me learn something new.","['Internet of Things', 'Image Processing']",['No Match']
"I find Software Engineering intellectually stimulating and highly relevant to current tech problems. Overall, I want a topic that’s exciting, practical, and lets me learn something new. However, I'm not interested in Diet Tracking Algorithms since it doesn't align with my goals. I usually steer clear of Agricultural Drone Mapping because it lacks real-world engagement in my view. I'm really drawn to Clustering Algorithms & Optimization as it aligns with both academic and industry trends.","['Software Engineering', 'Clustering Algorithms & Optimization']",['No Match']
"I'm fascinated by Software Engineering because it's both innovative and impactful. I'm not keen on working with Wildlife Monitoring Tools—it’s never been an area I enjoyed. Machine Learning is something I’ve always wanted to explore due to its interdisciplinary scope. Overall, I want a topic that’s exciting, practical, and lets me learn something new. However, I'm not interested in Emotion-based Music Curation since it doesn't align with my goals.","['Machine Learning', 'Software Engineering']",['No Match']
"Another area I enjoy is Neuroscience, especially for its potential applications. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm really drawn to Machine Learning Theory as it aligns with both academic and industry trends. Marine Ecology Apps doesn’t appeal to me as it's too niche for my liking. I’d rather avoid Urban Noise Mapping because it feels too abstract or outdated.","['Machine Learning Theory', 'Neuroscience']",['No Match']
"I’d rather avoid Agricultural Drone Mapping because it feels too abstract or outdated. I'm really drawn to Neural Networks as it aligns with both academic and industry trends. Network Coding is something I’ve always wanted to explore due to its interdisciplinary scope. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Music Genre Classification doesn’t appeal to me as it's too niche for my liking.","['Network Coding', 'Neural Networks']",['No Match']
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. Another area I enjoy is Computer Networking, especially for its potential applications. Automated Test and Measurement Systems is something I’ve always wanted to explore due to its interdisciplinary scope. I'm not keen on working with Pet Tracking Devices—it’s never been an area I enjoyed. However, I'm not interested in Sleep Cycle Prediction since it doesn't align with my goals.","['Automated Test and Measurement Systems', 'Computer Networking']",['No Match']
"I’d rather avoid Agricultural Drone Mapping because it feels too abstract or outdated. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Marine Ecology Apps doesn’t appeal to me as it's too niche for my liking. I'm really drawn to Internet of Things as it aligns with both academic and industry trends. Another area I enjoy is Distributed Systems, especially for its potential applications.","['Internet of Things', 'Distributed Systems']",['No Match']
"I'm fascinated by Computer Graphics because it's both innovative and impactful. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Computer Science is something I’ve always wanted to explore due to its interdisciplinary scope. I'm not keen on working with Urban Noise Mapping—it’s never been an area I enjoyed. Rehabilitation Robotics doesn’t appeal to me as it's too niche for my liking.","['Computer Graphics', 'Computer Science']",['No Match']
"Signal Processing is something I’ve always wanted to explore due to its interdisciplinary scope. I'm fascinated by Information Visualization because it's both innovative and impactful. I usually steer clear of Diet Tracking Algorithms because it lacks real-world engagement in my view. I’d rather avoid Sleep Cycle Prediction because it feels too abstract or outdated. Overall, I want a topic that’s exciting, practical, and lets me learn something new.","['Signal Processing', 'Information Visualization']",['No Match']
"I find Operational optimisation for sustainability intellectually stimulating and highly relevant to current tech problems. I'm fascinated by Blockchain because it's both innovative and impactful. I'm not keen on working with Emotion-based Music Curation—it’s never been an area I enjoyed. Rehabilitation Robotics doesn’t appeal to me as it's too niche for my liking. Overall, I want a topic that’s exciting, practical, and lets me learn something new.","['Blockchain', 'Operational optimisation for sustainability']",['No Match']
"Meteorology Dashboards doesn’t appeal to me as it's too niche for my liking. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Internet of Things is something I’ve always wanted to explore due to its interdisciplinary scope. I’d rather avoid Gamified Learning Platforms because it feels too abstract or outdated. I find Operational optimisation for sustainability intellectually stimulating and highly relevant to current tech problems.","['Internet of Things', 'Operational optimisation for sustainability']",['No Match']
"I usually steer clear of Marine Ecology Apps because it lacks real-world engagement in my view. Overall, I want a topic that’s exciting, practical, and lets me learn something new. However, I'm not interested in Biodiversity Cataloging since it doesn't align with my goals. I'm fascinated by Generative AI because it's both innovative and impactful. Another area I enjoy is Wireless Communication, especially for its potential applications.","['Wireless Communication', 'Generative AI']",['No Match']
"Fiber Optic Sensor is something I’ve always wanted to explore due to its interdisciplinary scope. I'm really drawn to Photonic Devices as it aligns with both academic and industry trends. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm not keen on working with Music Genre Classification—it’s never been an area I enjoyed. Quantum Finance doesn’t appeal to me as it's too niche for my liking.","['Photonic Devices', 'Fiber Optic Sensor']",['No Match']
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. I find Product/Service Design intellectually stimulating and highly relevant to current tech problems. 3D Food Printing doesn’t appeal to me as it's too niche for my liking. Another area I enjoy is Nanomaterials, especially for its potential applications. I usually steer clear of Smart Furniture Systems because it lacks real-world engagement in my view.","['Nanomaterials', 'Product/Service Design']",['No Match']
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. Music Genre Classification doesn’t appeal to me as it's too niche for my liking. Another area I enjoy is Renewable Energy System Management, especially for its potential applications. I'm fascinated by Interaction Design because it's both innovative and impactful. However, I'm not interested in Biodiversity Cataloging since it doesn't align with my goals.","['Renewable Energy System Management', 'Interaction Design']",['No Match']
"I’d rather avoid Music Genre Classification because it feels too abstract or outdated. I find Computational Intelligence intellectually stimulating and highly relevant to current tech problems. However, I'm not interested in Agricultural Drone Mapping since it doesn't align with my goals. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Another area I enjoy is Information Security, especially for its potential applications.","['Computational Intelligence', 'Information Security']",['No Match']
"Another area I enjoy is Software Engineering, especially for its potential applications. However, I'm not interested in Smart Furniture Systems since it doesn't align with my goals. I'm fascinated by Automated Test and Measurement Systems because it's both innovative and impactful. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm not keen on working with Space Weather Forecasting—it’s never been an area I enjoyed.","['Automated Test and Measurement Systems', 'Software Engineering']",['No Match']
"I'm not keen on working with 3D Food Printing—it’s never been an area I enjoyed. I find Swarm and Evolutionary Computing intellectually stimulating and highly relevant to current tech problems. Wildlife Monitoring Tools doesn’t appeal to me as it's too niche for my liking. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Computer Vision is something I’ve always wanted to explore due to its interdisciplinary scope.","['Computer Vision', 'Swarm and Evolutionary Computing']",['No Match']
"I'm really drawn to Nanomaterials as it aligns with both academic and industry trends. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I’d rather avoid Smart Furniture Systems because it feels too abstract or outdated. Autonomous Farming doesn’t appeal to me as it's too niche for my liking. Fiber Optic Sensor is something I’ve always wanted to explore due to its interdisciplinary scope.","['Fiber Optic Sensor', 'Nanomaterials']",['No Match']
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm fascinated by Cybersecurity because it's both innovative and impactful. I usually steer clear of Marine Ecology Apps because it lacks real-world engagement in my view. Information Visualization is something I’ve always wanted to explore due to its interdisciplinary scope. Sleep Cycle Prediction doesn’t appeal to me as it's too niche for my liking.","['Cybersecurity', 'Information Visualization']",['No Match']
"I’d rather avoid Wildlife Monitoring Tools because it feels too abstract or outdated. Another area I enjoy is Deep Learning, especially for its potential applications. Overall, I want a topic that’s exciting, practical, and lets me learn something new. However, I'm not interested in Diet Tracking Algorithms since it doesn't align with my goals. I'm really drawn to Human-Computer Interaction as it aligns with both academic and industry trends.","['Deep Learning', 'Human-Computer Interaction']",['No Match']
"I find Computer Science intellectually stimulating and highly relevant to current tech problems. Another area I enjoy is Machine Learning Theory, especially for its potential applications. I'm not keen on working with Autonomous Farming—it’s never been an area I enjoyed. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Biodiversity Cataloging doesn’t appeal to me as it's too niche for my liking.","['Machine Learning Theory', 'Computer Science']",['No Match']
"Another area I enjoy is Operational optimisation for sustainability, especially for its potential applications. I’d rather avoid Sleep Cycle Prediction because it feels too abstract or outdated. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I find Computer Graphics intellectually stimulating and highly relevant to current tech problems. I'm not keen on working with Sports Injury Prediction—it’s never been an area I enjoyed.","['Computer Graphics', 'Operational optimisation for sustainability']",['No Match']
"Distributed haptics is something I’ve always wanted to explore due to its interdisciplinary scope. 3D Food Printing doesn’t appeal to me as it's too niche for my liking. I’d rather avoid Rehabilitation Robotics because it feels too abstract or outdated. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm really drawn to Swarm and Evolutionary Computing as it aligns with both academic and industry trends.","['Distributed haptics', 'Swarm and Evolutionary Computing']",['No Match']
